,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/mul_div_2op_symbolic,0.2608,0.2107,0.2324,0.2056,0.1986,0.0868,0.1472,0.1204,0.2207,0.0350,0.0526,0.1440,0.1566,1.0000,0.2431,0.2713,0.0527,0.1433,0.2220,0.0645,0.0343,0.1656,0.1581,0.1683,0.0504,0.0435,0.0523,0.0610,0.0773,0.0939,0.1822,0.1754,0.1764,0.1811,0.1789,0.1668,0.1856,0.0763,0.0602,0.0578,0.0744,0.1261,0.0749,0.1015,0.1134
MD/mul_div_2op_verbal,0.2153,0.2598,0.2102,0.2320,0.1892,0.0993,0.1495,0.1289,0.2015,0.0427,0.0609,0.1494,0.1561,0.2431,1.0000,0.2333,0.0576,0.1475,0.2134,0.0755,0.0430,0.1674,0.1625,0.1711,0.0605,0.0534,0.0620,0.0709,0.0924,0.1065,0.1818,0.1782,0.1761,0.1805,0.1799,0.1681,0.1829,0.0775,0.0645,0.0637,0.0790,0.1206,0.0802,0.1023,0.1193
MD/mul_div_3op_symbolic,0.2325,0.2096,0.2327,0.2080,0.1970,0.0891,0.1434,0.1208,0.2243,0.0379,0.0554,0.1470,0.1535,0.2713,0.2333,1.0000,0.0529,0.1480,0.2225,0.0691,0.0349,0.1622,0.1581,0.1679,0.0526,0.0458,0.0543,0.0654,0.0820,0.0970,0.1799,0.1759,0.1722,0.1788,0.1759,0.1639,0.1802,0.0788,0.0620,0.0598,0.0761,0.1229,0.0786,0.1044,0.1154
MD/number_sequence,0.0594,0.0651,0.0584,0.0635,0.0690,0.0994,0.0651,0.0811,0.0572,0.1196,0.1197,0.0688,0.0587,0.0527,0.0576,0.0529,1.0000,0.0779,0.0784,0.1238,0.1371,0.0559,0.0591,0.0536,0.1234,0.1343,0.1293,0.1273,0.1011,0.0921,0.0506,0.0561,0.0485,0.0480,0.0530,0.0564,0.0489,0.0774,0.0800,0.0772,0.0747,0.0467,0.0852,0.0614,0.0685
MD/number_sorting,0.1446,0.1455,0.1512,0.1464,0.1445,0.1120,0.1297,0.1188,0.1433,0.0856,0.1018,0.1356,0.1283,0.1433,0.1475,0.1480,0.0779,1.0000,0.1480,0.1036,0.0715,0.1296,0.1309,0.1344,0.0883,0.0825,0.0900,0.0951,0.1128,0.1163,0.1364,0.1370,0.1321,0.1310,0.1349,0.1328,0.1326,0.0788,0.0686,0.0685,0.0792,0.0928,0.0891,0.0868,0.1054
MD/simple_equation,0.2155,0.2029,0.2028,0.1975,0.1923,0.1112,0.1424,0.1286,0.2032,0.0678,0.0889,0.1486,0.1467,0.2220,0.2134,0.2225,0.0784,0.1480,1.0000,0.0966,0.0641,0.1543,0.1531,0.1629,0.0785,0.0730,0.0826,0.0909,0.1053,0.1146,0.1646,0.1668,0.1609,0.1614,0.1631,0.1554,0.1628,0.0825,0.0672,0.0666,0.0770,0.1071,0.0872,0.0984,0.1133
ToM/agent,0.0784,0.0879,0.0808,0.0890,0.0967,0.1393,0.1054,0.1144,0.0713,0.1546,0.1569,0.1182,0.0930,0.0645,0.0755,0.0691,0.1238,0.1036,0.0966,1.0000,0.1713,0.0905,0.0959,0.0942,0.2089,0.1798,0.2778,0.2574,0.1518,0.1435,0.0777,0.0905,0.0783,0.0786,0.0850,0.0891,0.0742,0.0893,0.0906,0.0846,0.0897,0.0592,0.1085,0.0731,0.0957
ToM/desires_goals,0.0433,0.0503,0.0423,0.0516,0.0548,0.1059,0.0638,0.0847,0.0404,0.1380,0.1338,0.0701,0.0564,0.0343,0.0430,0.0349,0.1371,0.0715,0.0641,0.1713,1.0000,0.0562,0.0583,0.0528,0.1737,0.2268,0.1840,0.1663,0.1159,0.1024,0.0449,0.0552,0.0446,0.0451,0.0498,0.0554,0.0428,0.0855,0.0893,0.0858,0.0833,0.0487,0.0964,0.0616,0.0708
ToM/emotion_fewshot,0.1658,0.1655,0.1613,0.1637,0.1596,0.1158,0.1560,0.1361,0.1513,0.0662,0.0778,0.1515,0.1543,0.1656,0.1674,0.1622,0.0559,0.1296,0.1543,0.0905,0.0562,1.0000,0.2109,0.1853,0.0803,0.0724,0.0785,0.0831,0.1109,0.1231,0.1860,0.1891,0.1787,0.1832,0.1971,0.1889,0.1835,0.0757,0.0679,0.0656,0.0805,0.1250,0.0815,0.0962,0.1208
ToM/norm_appropriate,0.1614,0.1625,0.1584,0.1623,0.1625,0.1175,0.1575,0.1351,0.1494,0.0731,0.0886,0.1603,0.1546,0.1581,0.1625,0.1581,0.0591,0.1309,0.1531,0.0959,0.0583,0.2109,1.0000,0.2337,0.0790,0.0752,0.0836,0.0892,0.1180,0.1287,0.1781,0.1802,0.1747,0.1739,0.1838,0.2395,0.1717,0.0766,0.0688,0.0662,0.0805,0.1149,0.0849,0.0947,0.1222
ToM/norm_moral,0.1674,0.1703,0.1639,0.1681,0.1678,0.1164,0.1619,0.1393,0.1577,0.0669,0.0806,0.1615,0.1569,0.1683,0.1711,0.1679,0.0536,0.1344,0.1629,0.0942,0.0528,0.1853,0.2337,1.0000,0.0766,0.0681,0.0784,0.0849,0.1125,0.1276,0.1843,0.1868,0.1922,0.1807,0.1865,0.2018,0.1908,0.0770,0.0668,0.0643,0.0810,0.1205,0.0836,0.0950,0.1252
ToM/primary_emotions,0.0607,0.0683,0.0635,0.0704,0.0742,0.1171,0.0815,0.0950,0.0552,0.1405,0.1384,0.0909,0.0721,0.0504,0.0605,0.0526,0.1234,0.0883,0.0785,0.2089,0.1737,0.0803,0.0790,0.0766,1.0000,0.2791,0.1987,0.1792,0.1287,0.1198,0.0616,0.0744,0.0638,0.0612,0.0670,0.0740,0.0594,0.0884,0.0875,0.0847,0.0860,0.0544,0.1000,0.0675,0.0799
ToM/secondary_emotions,0.0535,0.0633,0.0554,0.0646,0.0682,0.1194,0.0773,0.0967,0.0493,0.1461,0.1454,0.0840,0.0683,0.0435,0.0534,0.0458,0.1343,0.0825,0.0730,0.1798,0.2268,0.0724,0.0752,0.0681,0.2791,1.0000,0.2011,0.1717,0.1312,0.1194,0.0556,0.0676,0.0580,0.0551,0.0614,0.0676,0.0528,0.0876,0.0894,0.0870,0.0866,0.0518,0.1002,0.0647,0.0792
ToM/social_interactions,0.0626,0.0715,0.0648,0.0735,0.0785,0.1269,0.0890,0.1035,0.0587,0.1482,0.1513,0.0964,0.0785,0.0523,0.0620,0.0543,0.1293,0.0900,0.0826,0.2778,0.1840,0.0785,0.0836,0.0784,0.1987,0.2011,1.0000,0.2357,0.1377,0.1263,0.0649,0.0771,0.0653,0.0657,0.0706,0.0768,0.0617,0.0878,0.0914,0.0851,0.0890,0.0547,0.1021,0.0679,0.0839
ToM/social_relations,0.0715,0.0811,0.0737,0.0825,0.0892,0.1325,0.0979,0.1113,0.0659,0.1452,0.1506,0.1057,0.0864,0.0610,0.0709,0.0654,0.1273,0.0951,0.0909,0.2574,0.1663,0.0831,0.0892,0.0849,0.1792,0.1717,0.2357,1.0000,0.1425,0.1341,0.0735,0.0868,0.0742,0.0729,0.0775,0.0836,0.0706,0.0879,0.0901,0.0851,0.0878,0.0598,0.1057,0.0722,0.0899
phys/phys_newton,0.0928,0.1029,0.0947,0.1033,0.1372,0.2143,0.1555,0.1802,0.0875,0.1923,0.2072,0.1391,0.1384,0.0773,0.0924,0.0820,0.1011,0.1128,0.1053,0.1518,0.1159,0.1109,0.1180,0.1125,0.1287,0.1312,0.1377,0.1425,1.0000,0.3582,0.0984,0.1130,0.1017,0.0968,0.0975,0.1101,0.0934,0.0867,0.0889,0.0850,0.0950,0.0814,0.1048,0.0744,0.1184
phys/phys_prost,0.1079,0.1159,0.1094,0.1157,0.1505,0.2089,0.1650,0.1869,0.1016,0.1730,0.1831,0.1474,0.1406,0.0939,0.1065,0.0970,0.0921,0.1163,0.1146,0.1435,0.1024,0.1231,0.1287,0.1276,0.1198,0.1194,0.1263,0.1341,0.3582,1.0000,0.1175,0.1265,0.1191,0.1127,0.1156,0.1257,0.1112,0.0867,0.0841,0.0823,0.0948,0.0927,0.1042,0.0777,0.1218
phys/physics_brightness,0.1724,0.1755,0.1737,0.1744,0.1679,0.1029,0.1545,0.1335,0.1712,0.0489,0.0644,0.1499,0.1582,0.1822,0.1818,0.1799,0.0506,0.1364,0.1646,0.0777,0.0449,0.1860,0.1781,0.1843,0.0616,0.0556,0.0649,0.0735,0.0984,0.1175,1.0000,0.2072,0.2022,0.2031,0.2036,0.1900,0.1987,0.0747,0.0639,0.0630,0.0798,0.1314,0.0775,0.1009,0.1232
phys/physics_buoyancy,0.1716,0.1727,0.1694,0.1727,0.1692,0.1130,0.1570,0.1384,0.1632,0.0617,0.0745,0.1528,0.1566,0.1754,0.1782,0.1759,0.0561,0.1370,0.1668,0.0905,0.0552,0.1891,0.1802,0.1868,0.0744,0.0676,0.0771,0.0868,0.1130,0.1265,0.2072,1.0000,0.1992,0.2016,0.1997,0.1937,0.1947,0.0767,0.0666,0.0647,0.0808,0.1263,0.0814,0.0973,0.1223
phys/physics_elasticity,0.1723,0.1718,0.1680,0.1694,0.1657,0.1056,0.1543,0.1357,0.1644,0.0513,0.0645,0.1498,0.1592,0.1764,0.1761,0.1722,0.0485,0.1321,0.1609,0.0783,0.0446,0.1787,0.1747,0.1922,0.0638,0.0580,0.0653,0.0742,0.1017,0.1191,0.2022,0.1992,1.0000,0.1973,0.1935,0.1877,0.2010,0.0739,0.0656,0.0644,0.0812,0.1320,0.0759,0.0996,0.1257
phys/physics_solubility,0.1729,0.1707,0.1714,0.1719,0.1625,0.0979,0.1490,0.1283,0.1670,0.0461,0.0607,0.1445,0.1584,0.1811,0.1805,0.1788,0.0480,0.1310,0.1614,0.0786,0.0451,0.1832,0.1739,0.1807,0.0612,0.0551,0.0657,0.0729,0.0968,0.1127,0.2031,0.2016,0.1973,1.0000,0.1974,0.1849,0.2148,0.0735,0.0658,0.0624,0.0798,0.1347,0.0755,0.0993,0.1219
phys/physics_speed,0.1737,0.1736,0.1695,0.1752,0.1691,0.1016,0.1602,0.1295,0.1664,0.0522,0.0683,0.1515,0.1555,0.1789,0.1799,0.1759,0.0530,0.1349,0.1631,0.0850,0.0498,0.1971,0.1838,0.1865,0.0670,0.0614,0.0706,0.0775,0.0975,0.1156,0.2036,0.1997,0.1935,0.1974,1.0000,0.1942,0.1929,0.0748,0.0651,0.0634,0.0790,0.1290,0.0784,0.0979,0.1192
phys/physics_stability,0.1673,0.1668,0.1627,0.1652,0.1668,0.1099,0.1581,0.1350,0.1561,0.0630,0.0770,0.1536,0.1560,0.1668,0.1681,0.1639,0.0564,0.1328,0.1554,0.0891,0.0554,0.1889,0.2395,0.2018,0.0740,0.0676,0.0768,0.0836,0.1101,0.1257,0.1900,0.1937,0.1877,0.1849,0.1942,1.0000,0.1823,0.0753,0.0661,0.0640,0.0799,0.1246,0.0814,0.0937,0.1206
phys/physics_temperature,0.1740,0.1744,0.1736,0.1711,0.1634,0.0974,0.1508,0.1320,0.1673,0.0420,0.0580,0.1436,0.1561,0.1856,0.1829,0.1802,0.0489,0.1326,0.1628,0.0742,0.0428,0.1835,0.1717,0.1908,0.0594,0.0528,0.0617,0.0706,0.0934,0.1112,0.1987,0.1947,0.2010,0.2148,0.1929,0.1823,1.0000,0.0736,0.0642,0.0611,0.0786,0.1328,0.0746,0.0993,0.1208
Lan/anaphor_gender_agreement,0.0763,0.0785,0.0800,0.0798,0.0790,0.0847,0.0778,0.0807,0.0788,0.0869,0.0836,0.0812,0.0756,0.0763,0.0775,0.0788,0.0774,0.0788,0.0825,0.0893,0.0855,0.0757,0.0766,0.0770,0.0884,0.0876,0.0878,0.0879,0.0867,0.0867,0.0747,0.0767,0.0739,0.0735,0.0748,0.0753,0.0736,1.0000,0.1086,0.1069,0.1039,0.0831,0.0970,0.0915,0.0819
Lan/det_noun_agreement_irregular,0.0640,0.0691,0.0669,0.0682,0.0652,0.0823,0.0698,0.0786,0.0610,0.0838,0.0845,0.0713,0.0682,0.0602,0.0645,0.0620,0.0800,0.0686,0.0672,0.0906,0.0893,0.0679,0.0688,0.0668,0.0875,0.0894,0.0914,0.0901,0.0889,0.0841,0.0639,0.0666,0.0656,0.0658,0.0651,0.0661,0.0642,0.1086,1.0000,0.2025,0.1577,0.0906,0.0985,0.0967,0.0915
Lan/det_noun_agreement_regular,0.0633,0.0678,0.0652,0.0690,0.0634,0.0781,0.0669,0.0748,0.0603,0.0812,0.0805,0.0700,0.0655,0.0578,0.0637,0.0598,0.0772,0.0685,0.0666,0.0846,0.0858,0.0656,0.0662,0.0643,0.0847,0.0870,0.0851,0.0851,0.0850,0.0823,0.0630,0.0647,0.0644,0.0624,0.0634,0.0640,0.0611,0.1069,0.2025,1.0000,0.1623,0.0932,0.1008,0.0980,0.0909
Lan/det_noun_agreement_with_adjective,0.0766,0.0820,0.0810,0.0827,0.0780,0.0885,0.0819,0.0867,0.0746,0.0843,0.0843,0.0832,0.0804,0.0744,0.0790,0.0761,0.0747,0.0792,0.0770,0.0897,0.0833,0.0805,0.0805,0.0810,0.0860,0.0866,0.0890,0.0878,0.0950,0.0948,0.0798,0.0808,0.0812,0.0798,0.0790,0.0799,0.0786,0.1039,0.1577,0.1623,1.0000,0.1118,0.1009,0.1057,0.1098
Lan/hypernymy,0.1205,0.1154,0.1177,0.1163,0.1068,0.0749,0.1047,0.0993,0.1158,0.0444,0.0500,0.0998,0.1121,0.1261,0.1206,0.1229,0.0467,0.0928,0.1071,0.0592,0.0487,0.1250,0.1149,0.1205,0.0544,0.0518,0.0547,0.0598,0.0814,0.0927,0.1314,0.1263,0.1320,0.1347,0.1290,0.1246,0.1328,0.0831,0.0906,0.0932,0.1118,1.0000,0.0729,0.1036,0.1045
Lan/npi,0.0806,0.0857,0.0847,0.0868,0.0860,0.1040,0.0916,0.0931,0.0783,0.1079,0.1099,0.0963,0.0855,0.0749,0.0802,0.0786,0.0852,0.0891,0.0872,0.1085,0.0964,0.0815,0.0849,0.0836,0.1000,0.1002,0.1021,0.1057,0.1048,0.1042,0.0775,0.0814,0.0759,0.0755,0.0784,0.0814,0.0746,0.0970,0.0985,0.1008,0.1009,0.0729,1.0000,0.0912,0.0931
Lan/subject_verb_agreement,0.1012,0.1004,0.1013,0.1020,0.0927,0.0753,0.0887,0.0823,0.1010,0.0598,0.0642,0.0907,0.0921,0.1015,0.1023,0.1044,0.0614,0.0868,0.0984,0.0731,0.0616,0.0962,0.0947,0.0950,0.0675,0.0647,0.0679,0.0722,0.0744,0.0777,0.1009,0.0973,0.0996,0.0993,0.0979,0.0937,0.0993,0.0915,0.0967,0.0980,0.1057,0.1036,0.0912,1.0000,0.1015
Lan/wug,0.1197,0.1243,0.1194,0.1233,0.1245,0.1236,0.1271,0.1289,0.1108,0.0857,0.0924,0.1212,0.1206,0.1134,0.1193,0.1154,0.0685,0.1054,0.1133,0.0957,0.0708,0.1208,0.1222,0.1252,0.0799,0.0792,0.0839,0.0899,0.1184,0.1218,0.1232,0.1223,0.1257,0.1219,0.1192,0.1206,0.1208,0.0819,0.0915,0.0909,0.1098,0.1045,0.0931,0.1015,1.0000
