,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.0034,0.0057,0.0034,0.0045,0.0271,0.0430,0.0430,0.0192,0.0011,0.1606,1.0000,0.0679,0.0667,0.0023,0.0034,0.0011,0.0045,0.0351,0.0034,0.0147,0.0079,0.0181,0.0226,0.0294,0.0181,0.0113,0.0124,0.0181,0.1369,0.1075,0.0124,0.0305,0.0102,0.0045,0.0204,0.0260,0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0011,0.0011
MD/logic_syllogism_1,0.0045,0.0079,0.0034,0.0079,0.0837,0.0679,0.1618,0.0713,0.0045,0.0385,0.0679,1.0000,0.0532,0.0023,0.0057,0.0045,0.0023,0.0226,0.0011,0.0271,0.0113,0.0373,0.0724,0.0747,0.0124,0.0147,0.0215,0.0215,0.0735,0.0667,0.0305,0.0430,0.0373,0.0215,0.0543,0.0622,0.0351,0.0068,0.0079,0.0068,0.0057,0.0045,0.0124,0.0011,0.0102
MD/logic_syllogism_symbolic,0.0045,0.0034,0.0057,0.0057,0.0362,0.1018,0.1029,0.1063,0.0057,0.0713,0.0667,0.0532,1.0000,0.0034,0.0057,0.0068,0.0102,0.0204,0.0045,0.0079,0.0023,0.0294,0.0566,0.0679,0.0045,0.0068,0.0068,0.0283,0.1448,0.1210,0.0498,0.0441,0.0464,0.0328,0.0317,0.0486,0.0294,0.0113,0.0079,0.0113,0.0102,0.0124,0.0057,0.0079,0.0249
MD/mul_div_2op_symbolic,0.4921,0.3416,0.4400,0.2964,0.3348,0.0090,0.0023,0.0023,0.3903,0.0000,0.0023,0.0023,0.0034,1.0000,0.5792,0.6606,0.0995,0.0057,0.5690,0.0000,0.0011,0.0011,0.0034,0.0023,0.0011,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0057,0.0034,0.0057,0.0045,0.0045,0.0023,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000
MD/mul_div_2op_verbal,0.3529,0.4932,0.3269,0.3971,0.2658,0.0396,0.0204,0.0294,0.2919,0.0000,0.0034,0.0057,0.0057,0.5792,1.0000,0.5373,0.0747,0.0057,0.4581,0.0011,0.0011,0.0192,0.0057,0.0113,0.0011,0.0011,0.0011,0.0034,0.0226,0.0215,0.0170,0.0170,0.0102,0.0181,0.0181,0.0113,0.0181,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011
MD/mul_div_3op_symbolic,0.4559,0.3326,0.4480,0.2907,0.3631,0.0124,0.0034,0.0034,0.4152,0.0000,0.0011,0.0045,0.0068,0.6606,0.5373,1.0000,0.0939,0.0068,0.5860,0.0000,0.0011,0.0011,0.0011,0.0023,0.0011,0.0011,0.0000,0.0011,0.0023,0.0023,0.0045,0.0011,0.0045,0.0045,0.0045,0.0045,0.0023,0.0023,0.0023,0.0023,0.0023,0.0000,0.0023,0.0000,0.0000
MD/number_sequence,0.0984,0.0781,0.0826,0.0532,0.1199,0.0158,0.0023,0.0034,0.1029,0.0011,0.0045,0.0023,0.0102,0.0995,0.0747,0.0939,1.0000,0.0204,0.1210,0.0362,0.0339,0.0057,0.0045,0.0057,0.0249,0.0317,0.0271,0.0305,0.0068,0.0034,0.0045,0.0090,0.0057,0.0057,0.0057,0.0079,0.0068,0.0057,0.0045,0.0045,0.0023,0.0000,0.0023,0.0034,0.0000
MD/number_sorting,0.0045,0.0057,0.0079,0.0068,0.0249,0.0339,0.0294,0.0249,0.0068,0.0170,0.0351,0.0226,0.0204,0.0057,0.0057,0.0068,0.0204,1.0000,0.0068,0.0136,0.0023,0.0215,0.0271,0.0294,0.0068,0.0023,0.0102,0.0204,0.0317,0.0328,0.0136,0.0305,0.0158,0.0136,0.0317,0.0249,0.0158,0.0068,0.0034,0.0011,0.0034,0.0000,0.0045,0.0023,0.0057
MD/simple_equation,0.5124,0.3925,0.4118,0.2964,0.4095,0.0124,0.0023,0.0011,0.4423,0.0000,0.0034,0.0011,0.0045,0.5690,0.4581,0.5860,0.1210,0.0068,1.0000,0.0023,0.0023,0.0011,0.0011,0.0068,0.0000,0.0045,0.0034,0.0034,0.0011,0.0011,0.0034,0.0057,0.0034,0.0045,0.0045,0.0045,0.0034,0.0023,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000
ToM/agent,0.0023,0.0011,0.0000,0.0034,0.0068,0.0079,0.0170,0.0102,0.0023,0.0136,0.0147,0.0271,0.0079,0.0000,0.0011,0.0000,0.0362,0.0136,0.0023,1.0000,0.0871,0.0124,0.0124,0.0192,0.1629,0.1188,0.2590,0.2432,0.0226,0.0147,0.0147,0.0226,0.0124,0.0068,0.0158,0.0147,0.0102,0.0090,0.0034,0.0000,0.0011,0.0000,0.0023,0.0011,0.0000
ToM/desires_goals,0.0011,0.0011,0.0011,0.0000,0.0057,0.0079,0.0102,0.0068,0.0000,0.0057,0.0079,0.0113,0.0023,0.0011,0.0011,0.0011,0.0339,0.0023,0.0023,0.0871,1.0000,0.0079,0.0079,0.0113,0.0781,0.1946,0.1210,0.0803,0.0124,0.0102,0.0023,0.0079,0.0079,0.0068,0.0045,0.0102,0.0034,0.0113,0.0000,0.0011,0.0000,0.0011,0.0011,0.0011,0.0023
ToM/emotion_fewshot,0.0023,0.0170,0.0011,0.0158,0.0633,0.1109,0.1086,0.1188,0.0068,0.0102,0.0181,0.0373,0.0294,0.0011,0.0192,0.0011,0.0057,0.0215,0.0011,0.0124,0.0079,1.0000,0.1267,0.1041,0.0170,0.0136,0.0147,0.0170,0.1086,0.1143,0.1041,0.1335,0.0758,0.0747,0.1176,0.1222,0.0826,0.0068,0.0147,0.0102,0.0090,0.0170,0.0034,0.0090,0.0124
ToM/norm_appropriate,0.0023,0.0045,0.0011,0.0136,0.0566,0.0973,0.1414,0.1109,0.0023,0.0181,0.0226,0.0724,0.0566,0.0034,0.0057,0.0011,0.0045,0.0271,0.0011,0.0124,0.0079,0.1267,1.0000,0.2036,0.0090,0.0068,0.0124,0.0226,0.1018,0.0973,0.1131,0.1007,0.0758,0.0633,0.0939,0.2353,0.0781,0.0079,0.0068,0.0079,0.0102,0.0124,0.0045,0.0124,0.0192
ToM/norm_moral,0.0011,0.0113,0.0023,0.0158,0.0600,0.1233,0.1346,0.1595,0.0011,0.0204,0.0294,0.0747,0.0679,0.0023,0.0113,0.0023,0.0057,0.0294,0.0068,0.0192,0.0113,0.1041,0.2036,1.0000,0.0215,0.0260,0.0271,0.0317,0.1290,0.1346,0.0962,0.1188,0.0769,0.0758,0.0882,0.1968,0.1267,0.0090,0.0170,0.0136,0.0102,0.0079,0.0023,0.0023,0.0226
ToM/primary_emotions,0.0011,0.0011,0.0011,0.0023,0.0045,0.0034,0.0124,0.0023,0.0000,0.0090,0.0181,0.0124,0.0045,0.0011,0.0011,0.0011,0.0249,0.0068,0.0000,0.1629,0.0781,0.0170,0.0090,0.0215,1.0000,0.2059,0.1278,0.1041,0.0113,0.0136,0.0011,0.0090,0.0079,0.0023,0.0057,0.0102,0.0034,0.0057,0.0023,0.0011,0.0011,0.0000,0.0011,0.0011,0.0000
ToM/secondary_emotions,0.0000,0.0023,0.0011,0.0023,0.0068,0.0079,0.0124,0.0079,0.0000,0.0113,0.0113,0.0147,0.0068,0.0023,0.0011,0.0011,0.0317,0.0023,0.0045,0.1188,0.1946,0.0136,0.0068,0.0260,0.2059,1.0000,0.1538,0.0984,0.0124,0.0090,0.0045,0.0158,0.0102,0.0068,0.0136,0.0124,0.0079,0.0079,0.0034,0.0023,0.0023,0.0023,0.0023,0.0011,0.0000
ToM/social_interactions,0.0023,0.0011,0.0011,0.0034,0.0045,0.0102,0.0147,0.0181,0.0011,0.0102,0.0124,0.0215,0.0068,0.0023,0.0011,0.0000,0.0271,0.0102,0.0034,0.2590,0.1210,0.0147,0.0124,0.0271,0.1278,0.1538,1.0000,0.1980,0.0249,0.0181,0.0113,0.0238,0.0170,0.0124,0.0147,0.0192,0.0102,0.0068,0.0045,0.0034,0.0000,0.0023,0.0034,0.0000,0.0011
ToM/social_relations,0.0011,0.0023,0.0023,0.0034,0.0226,0.0385,0.0385,0.0452,0.0023,0.0136,0.0181,0.0215,0.0283,0.0023,0.0034,0.0011,0.0305,0.0204,0.0034,0.2432,0.0803,0.0170,0.0226,0.0317,0.1041,0.0984,0.1980,1.0000,0.0509,0.0532,0.0192,0.0317,0.0294,0.0158,0.0170,0.0238,0.0170,0.0079,0.0034,0.0000,0.0011,0.0000,0.0011,0.0011,0.0023
phys/phys_newton,0.0011,0.0204,0.0023,0.0170,0.1244,0.3699,0.2353,0.3835,0.0057,0.0905,0.1369,0.0735,0.1448,0.0023,0.0226,0.0023,0.0068,0.0317,0.0011,0.0226,0.0124,0.1086,0.1018,0.1290,0.0113,0.0124,0.0249,0.0509,1.0000,0.5622,0.0984,0.1188,0.0860,0.0826,0.0769,0.1267,0.0950,0.0102,0.0034,0.0057,0.0034,0.0045,0.0011,0.0011,0.0158
phys/phys_prost,0.0011,0.0215,0.0023,0.0170,0.1199,0.3869,0.2421,0.4174,0.0034,0.0679,0.1075,0.0667,0.1210,0.0023,0.0215,0.0023,0.0034,0.0328,0.0011,0.0147,0.0102,0.1143,0.0973,0.1346,0.0136,0.0090,0.0181,0.0532,0.5622,1.0000,0.1063,0.1312,0.0928,0.0814,0.0803,0.1301,0.1018,0.0034,0.0011,0.0011,0.0023,0.0090,0.0000,0.0023,0.0204
phys/physics_brightness,0.0057,0.0158,0.0045,0.0113,0.0509,0.1007,0.1029,0.1143,0.0034,0.0090,0.0124,0.0305,0.0498,0.0023,0.0170,0.0045,0.0045,0.0136,0.0034,0.0147,0.0023,0.1041,0.1131,0.0962,0.0011,0.0045,0.0113,0.0192,0.0984,0.1063,1.0000,0.1176,0.0939,0.0962,0.0950,0.1041,0.0724,0.0113,0.0124,0.0124,0.0158,0.0090,0.0068,0.0124,0.0226
phys/physics_buoyancy,0.0023,0.0147,0.0011,0.0102,0.0588,0.1097,0.1086,0.1188,0.0057,0.0215,0.0305,0.0430,0.0441,0.0023,0.0170,0.0011,0.0090,0.0305,0.0057,0.0226,0.0079,0.1335,0.1007,0.1188,0.0090,0.0158,0.0238,0.0317,0.1188,0.1312,0.1176,1.0000,0.1256,0.1256,0.1346,0.1425,0.0928,0.0102,0.0181,0.0147,0.0158,0.0136,0.0045,0.0158,0.0339
phys/physics_elasticity,0.0057,0.0102,0.0034,0.0079,0.0407,0.0735,0.0803,0.0962,0.0034,0.0068,0.0102,0.0373,0.0464,0.0057,0.0102,0.0045,0.0057,0.0158,0.0034,0.0124,0.0079,0.0758,0.0758,0.0769,0.0079,0.0102,0.0170,0.0294,0.0860,0.0928,0.0939,0.1256,1.0000,0.0735,0.0747,0.0803,0.0928,0.0090,0.0204,0.0226,0.0215,0.0090,0.0034,0.0158,0.0249
phys/physics_solubility,0.0023,0.0158,0.0034,0.0147,0.0305,0.0882,0.0577,0.0984,0.0023,0.0034,0.0045,0.0215,0.0328,0.0034,0.0181,0.0045,0.0057,0.0136,0.0045,0.0068,0.0068,0.0747,0.0633,0.0758,0.0023,0.0068,0.0124,0.0158,0.0826,0.0814,0.0962,0.1256,0.0735,1.0000,0.0837,0.0848,0.1199,0.0057,0.0238,0.0204,0.0192,0.0124,0.0034,0.0181,0.0238
phys/physics_speed,0.0057,0.0181,0.0023,0.0124,0.0611,0.0724,0.1120,0.0781,0.0057,0.0124,0.0204,0.0543,0.0317,0.0057,0.0181,0.0045,0.0057,0.0317,0.0045,0.0158,0.0045,0.1176,0.0939,0.0882,0.0057,0.0136,0.0147,0.0170,0.0769,0.0803,0.0950,0.1346,0.0747,0.0837,1.0000,0.1437,0.0803,0.0068,0.0158,0.0136,0.0147,0.0170,0.0057,0.0045,0.0057
phys/physics_stability,0.0068,0.0124,0.0034,0.0124,0.0532,0.1075,0.1109,0.1256,0.0057,0.0124,0.0260,0.0622,0.0486,0.0045,0.0113,0.0045,0.0079,0.0249,0.0045,0.0147,0.0102,0.1222,0.2353,0.1968,0.0102,0.0124,0.0192,0.0238,0.1267,0.1301,0.1041,0.1425,0.0803,0.0848,0.1437,1.0000,0.0905,0.0090,0.0113,0.0124,0.0113,0.0057,0.0045,0.0045,0.0170
phys/physics_temperature,0.0023,0.0147,0.0034,0.0124,0.0396,0.1007,0.0814,0.1097,0.0034,0.0045,0.0068,0.0351,0.0294,0.0045,0.0181,0.0023,0.0068,0.0158,0.0034,0.0102,0.0034,0.0826,0.0781,0.1267,0.0034,0.0079,0.0102,0.0170,0.0950,0.1018,0.0724,0.0928,0.0928,0.1199,0.0803,0.0905,1.0000,0.0079,0.0226,0.0136,0.0192,0.0079,0.0023,0.0147,0.0147
Lan/anaphor_gender_agreement,0.0000,0.0023,0.0000,0.0023,0.0045,0.0023,0.0057,0.0023,0.0045,0.0000,0.0000,0.0068,0.0113,0.0023,0.0000,0.0023,0.0057,0.0068,0.0023,0.0090,0.0113,0.0068,0.0079,0.0090,0.0057,0.0079,0.0068,0.0079,0.0102,0.0034,0.0113,0.0102,0.0090,0.0057,0.0068,0.0090,0.0079,1.0000,0.0328,0.0260,0.0192,0.0181,0.0192,0.0260,0.0057
Lan/det_noun_agreement_irregular,0.0011,0.0000,0.0011,0.0023,0.0000,0.0057,0.0011,0.0057,0.0034,0.0000,0.0000,0.0079,0.0079,0.0000,0.0011,0.0023,0.0045,0.0034,0.0000,0.0034,0.0000,0.0147,0.0068,0.0170,0.0023,0.0034,0.0045,0.0034,0.0034,0.0011,0.0124,0.0181,0.0204,0.0238,0.0158,0.0113,0.0226,0.0328,1.0000,0.5633,0.4468,0.0645,0.0102,0.0656,0.1425
Lan/det_noun_agreement_regular,0.0011,0.0000,0.0000,0.0011,0.0000,0.0034,0.0011,0.0034,0.0011,0.0000,0.0000,0.0068,0.0113,0.0000,0.0000,0.0023,0.0045,0.0011,0.0000,0.0000,0.0011,0.0102,0.0079,0.0136,0.0011,0.0023,0.0034,0.0000,0.0057,0.0011,0.0124,0.0147,0.0226,0.0204,0.0136,0.0124,0.0136,0.0260,0.5633,1.0000,0.5226,0.0667,0.0192,0.0633,0.1584
Lan/det_noun_agreement_with_adjective,0.0011,0.0000,0.0000,0.0011,0.0011,0.0023,0.0000,0.0034,0.0011,0.0000,0.0000,0.0057,0.0102,0.0000,0.0000,0.0023,0.0023,0.0034,0.0000,0.0011,0.0000,0.0090,0.0102,0.0102,0.0011,0.0023,0.0000,0.0011,0.0034,0.0023,0.0158,0.0158,0.0215,0.0192,0.0147,0.0113,0.0192,0.0192,0.4468,0.5226,1.0000,0.0724,0.0113,0.0554,0.2014
Lan/hypernymy,0.0000,0.0000,0.0000,0.0011,0.0000,0.0023,0.0000,0.0057,0.0011,0.0000,0.0000,0.0045,0.0124,0.0011,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0011,0.0170,0.0124,0.0079,0.0000,0.0023,0.0023,0.0000,0.0045,0.0090,0.0090,0.0136,0.0090,0.0124,0.0170,0.0057,0.0079,0.0181,0.0645,0.0667,0.0724,1.0000,0.0147,0.0136,0.0294
Lan/npi,0.0011,0.0000,0.0000,0.0000,0.0011,0.0023,0.0034,0.0011,0.0000,0.0057,0.0011,0.0124,0.0057,0.0000,0.0000,0.0023,0.0023,0.0045,0.0000,0.0023,0.0011,0.0034,0.0045,0.0023,0.0011,0.0023,0.0034,0.0011,0.0011,0.0000,0.0068,0.0045,0.0034,0.0034,0.0057,0.0045,0.0023,0.0192,0.0102,0.0192,0.0113,0.0147,1.0000,0.0181,0.0045
Lan/subject_verb_agreement,0.0000,0.0000,0.0000,0.0011,0.0034,0.0000,0.0034,0.0011,0.0000,0.0000,0.0011,0.0011,0.0079,0.0000,0.0000,0.0000,0.0034,0.0023,0.0000,0.0011,0.0011,0.0090,0.0124,0.0023,0.0011,0.0011,0.0000,0.0011,0.0011,0.0023,0.0124,0.0158,0.0158,0.0181,0.0045,0.0045,0.0147,0.0260,0.0656,0.0633,0.0554,0.0136,0.0181,1.0000,0.0339
Lan/wug,0.0000,0.0011,0.0011,0.0011,0.0079,0.0249,0.0351,0.0294,0.0011,0.0000,0.0011,0.0102,0.0249,0.0000,0.0011,0.0000,0.0000,0.0057,0.0000,0.0000,0.0023,0.0124,0.0192,0.0226,0.0000,0.0000,0.0011,0.0023,0.0158,0.0204,0.0226,0.0339,0.0249,0.0238,0.0057,0.0170,0.0147,0.0057,0.1425,0.1584,0.2014,0.0294,0.0045,0.0339,1.0000
