,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.0281,0.0274,0.0245,0.0268,0.0644,0.0852,0.0739,0.0633,0.0167,0.1610,1.0000,0.0769,0.0635,0.0163,0.0186,0.0141,0.0426,0.0418,0.0336,0.0673,0.0453,0.0336,0.0384,0.0365,0.0526,0.0532,0.0633,0.0611,0.1372,0.1229,0.0209,0.0323,0.0219,0.0176,0.0267,0.0342,0.0166,0.0174,0.0145,0.0154,0.0141,0.0060,0.0314,0.0087,0.0246
MD/logic_syllogism_1,0.0567,0.0665,0.0510,0.0605,0.1115,0.0762,0.1207,0.0768,0.0393,0.0585,0.0769,1.0000,0.0718,0.0443,0.0539,0.0425,0.0263,0.0571,0.0547,0.0627,0.0297,0.0662,0.0788,0.0753,0.0411,0.0409,0.0505,0.0552,0.0875,0.0921,0.0542,0.0657,0.0551,0.0485,0.0614,0.0723,0.0473,0.0194,0.0211,0.0199,0.0192,0.0209,0.0335,0.0193,0.0409
MD/logic_syllogism_symbolic,0.0574,0.0605,0.0501,0.0616,0.0885,0.0813,0.0922,0.0927,0.0424,0.0682,0.0635,0.0718,1.0000,0.0536,0.0598,0.0495,0.0183,0.0484,0.0563,0.0390,0.0189,0.0663,0.0717,0.0691,0.0230,0.0254,0.0307,0.0400,0.1054,0.1039,0.0647,0.0702,0.0661,0.0631,0.0602,0.0669,0.0595,0.0200,0.0206,0.0197,0.0220,0.0277,0.0284,0.0261,0.0491
MD/mul_div_2op_symbolic,0.2149,0.1586,0.1742,0.1448,0.1618,0.0410,0.0535,0.0492,0.1493,0.0086,0.0163,0.0443,0.0536,1.0000,0.2004,0.2210,0.0419,0.0506,0.1882,0.0197,0.0113,0.0527,0.0502,0.0520,0.0151,0.0146,0.0174,0.0218,0.0340,0.0366,0.0552,0.0544,0.0528,0.0556,0.0565,0.0511,0.0591,0.0197,0.0163,0.0156,0.0171,0.0268,0.0185,0.0245,0.0338
MD/mul_div_2op_verbal,0.1623,0.2482,0.1410,0.2036,0.1536,0.0644,0.0692,0.0761,0.1243,0.0111,0.0186,0.0539,0.0598,0.2004,1.0000,0.1760,0.0439,0.0549,0.1729,0.0298,0.0192,0.0684,0.0671,0.0680,0.0215,0.0220,0.0262,0.0329,0.0539,0.0579,0.0661,0.0724,0.0671,0.0662,0.0658,0.0660,0.0687,0.0228,0.0220,0.0192,0.0208,0.0284,0.0209,0.0261,0.0454
MD/mul_div_3op_symbolic,0.1784,0.1479,0.1699,0.1400,0.1573,0.0370,0.0465,0.0454,0.1524,0.0076,0.0141,0.0425,0.0495,0.2210,0.1760,1.0000,0.0405,0.0522,0.1824,0.0174,0.0111,0.0484,0.0443,0.0488,0.0129,0.0135,0.0166,0.0219,0.0303,0.0331,0.0510,0.0482,0.0463,0.0497,0.0520,0.0444,0.0514,0.0196,0.0149,0.0136,0.0170,0.0269,0.0184,0.0224,0.0301
MD/number_sequence,0.0465,0.0463,0.0406,0.0428,0.0507,0.0367,0.0267,0.0318,0.0357,0.0341,0.0426,0.0263,0.0183,0.0419,0.0439,0.0405,1.0000,0.0309,0.0586,0.0565,0.0691,0.0234,0.0239,0.0217,0.0574,0.0620,0.0609,0.0574,0.0314,0.0306,0.0180,0.0224,0.0175,0.0161,0.0222,0.0219,0.0180,0.0213,0.0205,0.0186,0.0168,0.0092,0.0213,0.0154,0.0169
MD/number_sorting,0.0596,0.0601,0.0583,0.0611,0.0731,0.0530,0.0633,0.0569,0.0515,0.0343,0.0418,0.0571,0.0484,0.0506,0.0549,0.0522,0.0309,1.0000,0.0630,0.0374,0.0229,0.0446,0.0490,0.0492,0.0262,0.0260,0.0331,0.0398,0.0525,0.0549,0.0442,0.0510,0.0452,0.0400,0.0497,0.0482,0.0435,0.0202,0.0192,0.0169,0.0171,0.0223,0.0234,0.0223,0.0315
MD/simple_equation,0.1851,0.1681,0.1593,0.1519,0.1728,0.0614,0.0630,0.0656,0.1451,0.0200,0.0336,0.0547,0.0563,0.1882,0.1729,0.1824,0.0586,0.0630,1.0000,0.0404,0.0284,0.0554,0.0567,0.0599,0.0306,0.0307,0.0353,0.0419,0.0517,0.0539,0.0545,0.0599,0.0546,0.0526,0.0566,0.0535,0.0563,0.0213,0.0170,0.0155,0.0171,0.0207,0.0223,0.0216,0.0363
ToM/agent,0.0289,0.0372,0.0253,0.0348,0.0409,0.0499,0.0521,0.0444,0.0148,0.0579,0.0673,0.0627,0.0390,0.0197,0.0298,0.0174,0.0565,0.0374,0.0404,1.0000,0.1129,0.0431,0.0478,0.0451,0.1531,0.1236,0.2384,0.2186,0.0652,0.0661,0.0302,0.0439,0.0334,0.0306,0.0373,0.0432,0.0280,0.0277,0.0267,0.0250,0.0203,0.0141,0.0355,0.0193,0.0255
ToM/desires_goals,0.0147,0.0231,0.0147,0.0217,0.0216,0.0313,0.0267,0.0303,0.0089,0.0380,0.0453,0.0297,0.0189,0.0113,0.0192,0.0111,0.0691,0.0229,0.0284,0.1129,1.0000,0.0271,0.0276,0.0257,0.1146,0.1797,0.1281,0.1064,0.0407,0.0369,0.0205,0.0254,0.0177,0.0187,0.0210,0.0240,0.0161,0.0274,0.0256,0.0235,0.0193,0.0120,0.0274,0.0146,0.0174
ToM/emotion_fewshot,0.0549,0.0761,0.0520,0.0726,0.0835,0.0723,0.0873,0.0830,0.0384,0.0249,0.0336,0.0662,0.0663,0.0527,0.0684,0.0484,0.0234,0.0446,0.0554,0.0431,0.0271,1.0000,0.1303,0.1043,0.0421,0.0415,0.0411,0.0432,0.0775,0.0848,0.0935,0.1044,0.0923,0.0899,0.1060,0.1068,0.0885,0.0219,0.0238,0.0218,0.0278,0.0372,0.0229,0.0255,0.0460
ToM/norm_appropriate,0.0544,0.0692,0.0495,0.0654,0.0865,0.0695,0.0966,0.0818,0.0372,0.0287,0.0384,0.0788,0.0717,0.0502,0.0671,0.0443,0.0239,0.0490,0.0567,0.0478,0.0276,0.1303,1.0000,0.1606,0.0387,0.0365,0.0435,0.0474,0.0775,0.0857,0.0896,0.0948,0.0842,0.0774,0.0985,0.1640,0.0778,0.0194,0.0211,0.0220,0.0246,0.0315,0.0248,0.0242,0.0489
ToM/norm_moral,0.0548,0.0725,0.0509,0.0677,0.0850,0.0717,0.0917,0.0844,0.0391,0.0282,0.0365,0.0753,0.0691,0.0520,0.0680,0.0488,0.0217,0.0492,0.0599,0.0451,0.0257,0.1043,0.1606,1.0000,0.0384,0.0369,0.0453,0.0464,0.0759,0.0847,0.0883,0.0975,0.0933,0.0814,0.0938,0.1246,0.0941,0.0201,0.0230,0.0217,0.0252,0.0340,0.0251,0.0233,0.0498
ToM/primary_emotions,0.0187,0.0244,0.0179,0.0235,0.0283,0.0357,0.0339,0.0294,0.0102,0.0440,0.0526,0.0411,0.0230,0.0151,0.0215,0.0129,0.0574,0.0262,0.0306,0.1531,0.1146,0.0421,0.0387,0.0384,1.0000,0.2296,0.1410,0.1242,0.0435,0.0462,0.0248,0.0321,0.0259,0.0235,0.0285,0.0341,0.0210,0.0257,0.0263,0.0243,0.0203,0.0137,0.0292,0.0176,0.0196
ToM/secondary_emotions,0.0190,0.0275,0.0179,0.0267,0.0271,0.0349,0.0353,0.0341,0.0101,0.0476,0.0532,0.0409,0.0254,0.0146,0.0220,0.0135,0.0620,0.0260,0.0307,0.1236,0.1797,0.0415,0.0365,0.0369,0.2296,1.0000,0.1475,0.1164,0.0497,0.0459,0.0242,0.0342,0.0269,0.0236,0.0270,0.0330,0.0220,0.0252,0.0248,0.0246,0.0213,0.0115,0.0284,0.0160,0.0189
ToM/social_interactions,0.0249,0.0325,0.0229,0.0310,0.0342,0.0436,0.0449,0.0435,0.0119,0.0524,0.0633,0.0505,0.0307,0.0174,0.0262,0.0166,0.0609,0.0331,0.0353,0.2384,0.1281,0.0411,0.0435,0.0453,0.1410,0.1475,1.0000,0.1984,0.0617,0.0597,0.0299,0.0385,0.0305,0.0292,0.0339,0.0397,0.0257,0.0260,0.0283,0.0254,0.0215,0.0124,0.0294,0.0173,0.0227
ToM/social_relations,0.0294,0.0388,0.0274,0.0380,0.0443,0.0588,0.0563,0.0571,0.0158,0.0523,0.0611,0.0552,0.0400,0.0218,0.0329,0.0219,0.0574,0.0398,0.0419,0.2186,0.1064,0.0432,0.0474,0.0464,0.1242,0.1164,0.1984,1.0000,0.0661,0.0685,0.0341,0.0457,0.0348,0.0314,0.0364,0.0403,0.0310,0.0262,0.0284,0.0267,0.0220,0.0149,0.0322,0.0205,0.0294
phys/phys_newton,0.0432,0.0639,0.0380,0.0570,0.1270,0.1869,0.1494,0.1820,0.0238,0.1154,0.1372,0.0875,0.1054,0.0340,0.0539,0.0303,0.0314,0.0525,0.0517,0.0652,0.0407,0.0775,0.0775,0.0759,0.0435,0.0497,0.0617,0.0661,1.0000,0.3752,0.0645,0.0786,0.0679,0.0601,0.0618,0.0745,0.0599,0.0222,0.0249,0.0251,0.0261,0.0345,0.0292,0.0163,0.0619
phys/phys_prost,0.0476,0.0668,0.0418,0.0628,0.1379,0.1892,0.1602,0.1933,0.0280,0.1087,0.1229,0.0921,0.1039,0.0366,0.0579,0.0331,0.0306,0.0549,0.0539,0.0661,0.0369,0.0848,0.0857,0.0847,0.0462,0.0459,0.0597,0.0685,0.3752,1.0000,0.0767,0.0895,0.0762,0.0704,0.0701,0.0847,0.0687,0.0234,0.0287,0.0269,0.0311,0.0409,0.0273,0.0181,0.0647
phys/physics_brightness,0.0514,0.0680,0.0500,0.0655,0.0778,0.0599,0.0761,0.0743,0.0443,0.0161,0.0209,0.0542,0.0647,0.0552,0.0661,0.0510,0.0180,0.0442,0.0545,0.0302,0.0205,0.0935,0.0896,0.0883,0.0248,0.0242,0.0299,0.0341,0.0645,0.0767,1.0000,0.1198,0.1109,0.1106,0.1037,0.0970,0.0992,0.0191,0.0209,0.0199,0.0253,0.0422,0.0194,0.0281,0.0482
phys/physics_buoyancy,0.0580,0.0682,0.0517,0.0643,0.0840,0.0703,0.0877,0.0842,0.0427,0.0244,0.0323,0.0657,0.0702,0.0544,0.0724,0.0482,0.0224,0.0510,0.0599,0.0439,0.0254,0.1044,0.0948,0.0975,0.0321,0.0342,0.0385,0.0457,0.0786,0.0895,0.1198,1.0000,0.1221,0.1196,0.1128,0.1131,0.1048,0.0198,0.0231,0.0226,0.0263,0.0418,0.0226,0.0283,0.0510
phys/physics_elasticity,0.0554,0.0672,0.0474,0.0684,0.0761,0.0599,0.0753,0.0771,0.0430,0.0171,0.0219,0.0551,0.0661,0.0528,0.0671,0.0463,0.0175,0.0452,0.0546,0.0334,0.0177,0.0923,0.0842,0.0933,0.0259,0.0269,0.0305,0.0348,0.0679,0.0762,0.1109,0.1221,1.0000,0.1103,0.0970,0.0998,0.1074,0.0187,0.0248,0.0238,0.0297,0.0405,0.0202,0.0300,0.0513
phys/physics_solubility,0.0525,0.0653,0.0485,0.0633,0.0661,0.0544,0.0657,0.0702,0.0433,0.0127,0.0176,0.0485,0.0631,0.0556,0.0662,0.0497,0.0161,0.0400,0.0526,0.0306,0.0187,0.0899,0.0774,0.0814,0.0235,0.0236,0.0292,0.0314,0.0601,0.0704,0.1106,0.1196,0.1103,1.0000,0.0970,0.0895,0.1183,0.0201,0.0231,0.0225,0.0283,0.0447,0.0201,0.0301,0.0470
phys/physics_speed,0.0557,0.0697,0.0547,0.0673,0.0829,0.0550,0.0831,0.0645,0.0482,0.0184,0.0267,0.0614,0.0602,0.0565,0.0658,0.0520,0.0222,0.0497,0.0566,0.0373,0.0210,0.1060,0.0985,0.0938,0.0285,0.0270,0.0339,0.0364,0.0618,0.0701,0.1037,0.1128,0.0970,0.0970,1.0000,0.1140,0.0920,0.0205,0.0208,0.0196,0.0230,0.0392,0.0224,0.0248,0.0407
phys/physics_stability,0.0557,0.0695,0.0506,0.0688,0.0855,0.0678,0.0891,0.0792,0.0398,0.0251,0.0342,0.0723,0.0669,0.0511,0.0660,0.0444,0.0219,0.0482,0.0535,0.0432,0.0240,0.1068,0.1640,0.1246,0.0341,0.0330,0.0397,0.0403,0.0745,0.0847,0.0970,0.1131,0.0998,0.0895,0.1140,1.0000,0.0879,0.0178,0.0221,0.0196,0.0233,0.0355,0.0227,0.0237,0.0451
phys/physics_temperature,0.0567,0.0680,0.0502,0.0648,0.0688,0.0561,0.0687,0.0756,0.0433,0.0111,0.0166,0.0473,0.0595,0.0591,0.0687,0.0514,0.0180,0.0435,0.0563,0.0280,0.0161,0.0885,0.0778,0.0941,0.0210,0.0220,0.0257,0.0310,0.0599,0.0687,0.0992,0.1048,0.1074,0.1183,0.0920,0.0879,1.0000,0.0217,0.0236,0.0217,0.0257,0.0422,0.0184,0.0303,0.0474
Lan/anaphor_gender_agreement,0.0220,0.0235,0.0202,0.0225,0.0218,0.0195,0.0220,0.0214,0.0200,0.0193,0.0174,0.0194,0.0200,0.0197,0.0228,0.0196,0.0213,0.0202,0.0213,0.0277,0.0274,0.0219,0.0194,0.0201,0.0257,0.0252,0.0260,0.0262,0.0222,0.0234,0.0191,0.0198,0.0187,0.0201,0.0205,0.0178,0.0217,1.0000,0.0659,0.0652,0.0536,0.0367,0.0461,0.0436,0.0259
Lan/det_noun_agreement_irregular,0.0205,0.0224,0.0179,0.0227,0.0205,0.0196,0.0218,0.0261,0.0127,0.0144,0.0145,0.0211,0.0206,0.0163,0.0220,0.0149,0.0205,0.0192,0.0170,0.0267,0.0256,0.0238,0.0211,0.0230,0.0263,0.0248,0.0283,0.0284,0.0249,0.0287,0.0209,0.0231,0.0248,0.0231,0.0208,0.0221,0.0236,0.0659,1.0000,0.2431,0.1729,0.0618,0.0475,0.0683,0.0709
Lan/det_noun_agreement_regular,0.0185,0.0215,0.0162,0.0222,0.0182,0.0179,0.0194,0.0257,0.0118,0.0137,0.0154,0.0199,0.0197,0.0156,0.0192,0.0136,0.0186,0.0169,0.0155,0.0250,0.0235,0.0218,0.0220,0.0217,0.0243,0.0246,0.0254,0.0267,0.0251,0.0269,0.0199,0.0226,0.0238,0.0225,0.0196,0.0196,0.0217,0.0652,0.2431,1.0000,0.1941,0.0689,0.0477,0.0735,0.0760
Lan/det_noun_agreement_with_adjective,0.0189,0.0242,0.0184,0.0234,0.0192,0.0201,0.0223,0.0289,0.0146,0.0136,0.0141,0.0192,0.0220,0.0171,0.0208,0.0170,0.0168,0.0171,0.0171,0.0203,0.0193,0.0278,0.0246,0.0252,0.0203,0.0213,0.0215,0.0220,0.0261,0.0311,0.0253,0.0263,0.0297,0.0283,0.0230,0.0233,0.0257,0.0536,0.1729,0.1941,1.0000,0.0812,0.0443,0.0760,0.0949
Lan/hypernymy,0.0249,0.0263,0.0231,0.0275,0.0230,0.0210,0.0238,0.0362,0.0232,0.0053,0.0060,0.0209,0.0277,0.0268,0.0284,0.0269,0.0092,0.0223,0.0207,0.0141,0.0120,0.0372,0.0315,0.0340,0.0137,0.0115,0.0124,0.0149,0.0345,0.0409,0.0422,0.0418,0.0405,0.0447,0.0392,0.0355,0.0422,0.0367,0.0618,0.0689,0.0812,1.0000,0.0226,0.0432,0.0490
Lan/npi,0.0218,0.0249,0.0233,0.0264,0.0248,0.0248,0.0300,0.0248,0.0176,0.0309,0.0314,0.0335,0.0284,0.0185,0.0209,0.0184,0.0213,0.0234,0.0223,0.0355,0.0274,0.0229,0.0248,0.0251,0.0292,0.0284,0.0294,0.0322,0.0292,0.0273,0.0194,0.0226,0.0202,0.0201,0.0224,0.0227,0.0184,0.0461,0.0475,0.0477,0.0443,0.0226,1.0000,0.0405,0.0313
Lan/subject_verb_agreement,0.0234,0.0262,0.0230,0.0266,0.0230,0.0142,0.0218,0.0226,0.0214,0.0085,0.0087,0.0193,0.0261,0.0245,0.0261,0.0224,0.0154,0.0223,0.0216,0.0193,0.0146,0.0255,0.0242,0.0233,0.0176,0.0160,0.0173,0.0205,0.0163,0.0181,0.0281,0.0283,0.0300,0.0301,0.0248,0.0237,0.0303,0.0436,0.0683,0.0735,0.0760,0.0432,0.0405,1.0000,0.0544
Lan/wug,0.0401,0.0497,0.0350,0.0476,0.0608,0.0680,0.0671,0.0813,0.0238,0.0194,0.0246,0.0409,0.0491,0.0338,0.0454,0.0301,0.0169,0.0315,0.0363,0.0255,0.0174,0.0460,0.0489,0.0498,0.0196,0.0189,0.0227,0.0294,0.0619,0.0647,0.0482,0.0510,0.0513,0.0470,0.0407,0.0451,0.0474,0.0259,0.0709,0.0760,0.0949,0.0490,0.0313,0.0544,1.0000
