,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.0096,0.0062,0.0079,0.0068,0.0334,0.0475,0.0480,0.0220,0.0062,0.1532,1.0000,0.0774,0.0627,0.0034,0.0057,0.0040,0.0096,0.0334,0.0079,0.0271,0.0124,0.0170,0.0237,0.0243,0.0198,0.0153,0.0192,0.0215,0.1272,0.1085,0.0107,0.0283,0.0136,0.0085,0.0181,0.0243,0.0102,0.0006,0.0011,0.0006,0.0000,0.0000,0.0057,0.0006,0.0028
MD/logic_syllogism_1,0.0107,0.0209,0.0085,0.0136,0.0961,0.0712,0.1408,0.0656,0.0073,0.0430,0.0774,1.0000,0.0627,0.0085,0.0164,0.0096,0.0051,0.0317,0.0090,0.0418,0.0164,0.0492,0.0803,0.0707,0.0187,0.0204,0.0283,0.0294,0.0791,0.0695,0.0413,0.0526,0.0379,0.0271,0.0571,0.0757,0.0367,0.0068,0.0073,0.0079,0.0090,0.0073,0.0158,0.0051,0.0170
MD/logic_syllogism_symbolic,0.0158,0.0232,0.0124,0.0164,0.0537,0.0978,0.1012,0.1221,0.0124,0.0695,0.0627,0.0627,1.0000,0.0153,0.0175,0.0147,0.0073,0.0288,0.0102,0.0175,0.0040,0.0441,0.0622,0.0622,0.0057,0.0073,0.0153,0.0300,0.1521,0.1215,0.0594,0.0577,0.0537,0.0469,0.0430,0.0577,0.0441,0.0113,0.0124,0.0130,0.0113,0.0164,0.0102,0.0124,0.0345
MD/mul_div_2op_symbolic,0.5127,0.3754,0.4375,0.3166,0.3279,0.0187,0.0113,0.0130,0.3612,0.0000,0.0034,0.0085,0.0153,1.0000,0.5302,0.5981,0.0910,0.0085,0.5223,0.0045,0.0040,0.0113,0.0096,0.0113,0.0017,0.0057,0.0062,0.0068,0.0102,0.0085,0.0102,0.0102,0.0102,0.0090,0.0107,0.0141,0.0119,0.0051,0.0045,0.0028,0.0023,0.0028,0.0017,0.0034,0.0051
MD/mul_div_2op_verbal,0.3742,0.4992,0.3324,0.4025,0.2793,0.0605,0.0401,0.0514,0.2736,0.0000,0.0057,0.0164,0.0175,0.5302,1.0000,0.4901,0.0797,0.0119,0.4313,0.0017,0.0028,0.0447,0.0277,0.0311,0.0034,0.0068,0.0051,0.0068,0.0424,0.0384,0.0345,0.0384,0.0317,0.0328,0.0350,0.0350,0.0350,0.0051,0.0051,0.0034,0.0040,0.0023,0.0017,0.0051,0.0062
MD/mul_div_3op_symbolic,0.4686,0.3505,0.4319,0.3030,0.3363,0.0158,0.0124,0.0107,0.3748,0.0006,0.0040,0.0096,0.0147,0.5981,0.4901,1.0000,0.0871,0.0107,0.5212,0.0017,0.0023,0.0113,0.0090,0.0102,0.0023,0.0028,0.0028,0.0045,0.0107,0.0085,0.0090,0.0079,0.0085,0.0073,0.0102,0.0119,0.0090,0.0051,0.0023,0.0017,0.0011,0.0017,0.0023,0.0006,0.0034
MD/number_sequence,0.0927,0.0791,0.0786,0.0582,0.0989,0.0164,0.0051,0.0090,0.0825,0.0051,0.0096,0.0051,0.0073,0.0910,0.0797,0.0871,1.0000,0.0226,0.1063,0.0322,0.0396,0.0107,0.0090,0.0079,0.0334,0.0328,0.0305,0.0322,0.0079,0.0028,0.0068,0.0119,0.0090,0.0085,0.0107,0.0153,0.0096,0.0057,0.0051,0.0040,0.0045,0.0023,0.0040,0.0040,0.0017
MD/number_sorting,0.0136,0.0124,0.0153,0.0119,0.0311,0.0328,0.0345,0.0260,0.0124,0.0220,0.0334,0.0317,0.0288,0.0085,0.0119,0.0107,0.0226,1.0000,0.0153,0.0170,0.0085,0.0226,0.0277,0.0283,0.0090,0.0079,0.0136,0.0283,0.0362,0.0339,0.0158,0.0350,0.0204,0.0164,0.0311,0.0317,0.0209,0.0062,0.0062,0.0051,0.0068,0.0006,0.0057,0.0045,0.0073
MD/simple_equation,0.5161,0.4104,0.4251,0.3279,0.3657,0.0266,0.0090,0.0119,0.3742,0.0000,0.0079,0.0090,0.0102,0.5223,0.4313,0.5212,0.1063,0.0153,1.0000,0.0051,0.0051,0.0130,0.0085,0.0119,0.0040,0.0062,0.0051,0.0057,0.0085,0.0085,0.0073,0.0141,0.0107,0.0090,0.0107,0.0107,0.0090,0.0051,0.0028,0.0017,0.0028,0.0017,0.0017,0.0017,0.0028
ToM/agent,0.0040,0.0034,0.0051,0.0051,0.0119,0.0153,0.0232,0.0158,0.0028,0.0192,0.0271,0.0418,0.0175,0.0045,0.0017,0.0017,0.0322,0.0170,0.0051,1.0000,0.0967,0.0153,0.0192,0.0305,0.1583,0.1187,0.2453,0.2391,0.0305,0.0277,0.0141,0.0243,0.0158,0.0102,0.0204,0.0254,0.0147,0.0102,0.0068,0.0045,0.0028,0.0028,0.0079,0.0045,0.0023
ToM/desires_goals,0.0023,0.0017,0.0023,0.0040,0.0051,0.0102,0.0090,0.0119,0.0011,0.0107,0.0124,0.0164,0.0040,0.0040,0.0028,0.0023,0.0396,0.0085,0.0051,0.0967,1.0000,0.0124,0.0102,0.0141,0.0871,0.1843,0.1193,0.0763,0.0141,0.0119,0.0090,0.0147,0.0079,0.0090,0.0102,0.0175,0.0057,0.0090,0.0045,0.0040,0.0023,0.0028,0.0045,0.0034,0.0034
ToM/emotion_fewshot,0.0147,0.0475,0.0147,0.0328,0.0741,0.1029,0.1114,0.1244,0.0136,0.0124,0.0170,0.0492,0.0441,0.0113,0.0447,0.0113,0.0107,0.0226,0.0130,0.0153,0.0124,1.0000,0.1249,0.1159,0.0215,0.0260,0.0170,0.0249,0.1193,0.1170,0.1131,0.1278,0.0876,0.0899,0.1198,0.1311,0.0854,0.0096,0.0192,0.0158,0.0147,0.0204,0.0068,0.0136,0.0249
ToM/norm_appropriate,0.0096,0.0283,0.0073,0.0362,0.0774,0.0944,0.1351,0.1204,0.0073,0.0198,0.0237,0.0803,0.0622,0.0096,0.0277,0.0090,0.0090,0.0277,0.0085,0.0192,0.0102,0.1249,1.0000,0.1962,0.0147,0.0153,0.0215,0.0294,0.1057,0.1063,0.1046,0.1142,0.0893,0.0786,0.1074,0.2256,0.0837,0.0102,0.0096,0.0096,0.0107,0.0136,0.0079,0.0119,0.0260
ToM/norm_moral,0.0130,0.0294,0.0096,0.0305,0.0712,0.1142,0.1266,0.1436,0.0045,0.0254,0.0243,0.0707,0.0622,0.0113,0.0311,0.0102,0.0079,0.0283,0.0119,0.0305,0.0141,0.1159,0.1962,1.0000,0.0322,0.0283,0.0294,0.0384,0.1232,0.1334,0.0916,0.1221,0.0916,0.0842,0.0995,0.1752,0.1227,0.0090,0.0141,0.0147,0.0141,0.0119,0.0045,0.0068,0.0260
ToM/primary_emotions,0.0023,0.0034,0.0028,0.0040,0.0057,0.0051,0.0119,0.0034,0.0023,0.0096,0.0198,0.0187,0.0057,0.0017,0.0034,0.0023,0.0334,0.0090,0.0040,0.1583,0.0871,0.0215,0.0147,0.0322,1.0000,0.2046,0.1244,0.1046,0.0119,0.0102,0.0090,0.0164,0.0107,0.0045,0.0124,0.0158,0.0079,0.0119,0.0040,0.0040,0.0040,0.0011,0.0057,0.0017,0.0006
ToM/secondary_emotions,0.0051,0.0045,0.0034,0.0068,0.0079,0.0085,0.0124,0.0085,0.0017,0.0141,0.0153,0.0204,0.0073,0.0057,0.0068,0.0028,0.0328,0.0079,0.0062,0.1187,0.1843,0.0260,0.0153,0.0283,0.2046,1.0000,0.1504,0.1051,0.0147,0.0147,0.0113,0.0215,0.0153,0.0079,0.0141,0.0215,0.0102,0.0079,0.0051,0.0045,0.0034,0.0028,0.0079,0.0034,0.0028
ToM/social_interactions,0.0057,0.0040,0.0034,0.0045,0.0079,0.0153,0.0147,0.0187,0.0040,0.0124,0.0192,0.0283,0.0153,0.0062,0.0051,0.0028,0.0305,0.0136,0.0051,0.2453,0.1193,0.0170,0.0215,0.0294,0.1244,0.1504,1.0000,0.1979,0.0288,0.0260,0.0136,0.0271,0.0192,0.0187,0.0204,0.0260,0.0153,0.0085,0.0062,0.0062,0.0045,0.0023,0.0051,0.0023,0.0062
ToM/social_relations,0.0079,0.0096,0.0051,0.0090,0.0237,0.0441,0.0390,0.0537,0.0034,0.0181,0.0215,0.0294,0.0300,0.0068,0.0068,0.0045,0.0322,0.0283,0.0057,0.2391,0.0763,0.0249,0.0294,0.0384,0.1046,0.1051,0.1979,1.0000,0.0520,0.0475,0.0254,0.0362,0.0294,0.0198,0.0215,0.0271,0.0254,0.0090,0.0079,0.0062,0.0062,0.0034,0.0017,0.0045,0.0051
phys/phys_newton,0.0107,0.0480,0.0136,0.0362,0.1588,0.3352,0.2448,0.3629,0.0096,0.0848,0.1272,0.0791,0.1521,0.0102,0.0424,0.0107,0.0079,0.0362,0.0085,0.0305,0.0141,0.1193,0.1057,0.1232,0.0119,0.0147,0.0288,0.0520,1.0000,0.5291,0.0978,0.1114,0.0921,0.0904,0.0871,0.1193,0.0927,0.0102,0.0090,0.0090,0.0073,0.0096,0.0057,0.0040,0.0350
phys/phys_prost,0.0107,0.0464,0.0113,0.0328,0.1515,0.3341,0.2465,0.3697,0.0079,0.0791,0.1085,0.0695,0.1215,0.0085,0.0384,0.0085,0.0028,0.0339,0.0085,0.0277,0.0119,0.1170,0.1063,0.1334,0.0102,0.0147,0.0260,0.0475,0.5291,1.0000,0.1023,0.1215,0.1023,0.0842,0.0820,0.1181,0.0955,0.0045,0.0051,0.0057,0.0062,0.0124,0.0045,0.0051,0.0305
phys/physics_brightness,0.0136,0.0339,0.0107,0.0305,0.0695,0.0899,0.1063,0.1198,0.0102,0.0090,0.0107,0.0413,0.0594,0.0102,0.0345,0.0090,0.0068,0.0158,0.0073,0.0141,0.0090,0.1131,0.1046,0.0916,0.0090,0.0113,0.0136,0.0254,0.0978,0.1023,1.0000,0.1317,0.1204,0.1085,0.1097,0.1187,0.0944,0.0113,0.0141,0.0136,0.0170,0.0164,0.0057,0.0141,0.0283
phys/physics_buoyancy,0.0130,0.0373,0.0136,0.0322,0.0639,0.0995,0.1034,0.1187,0.0124,0.0254,0.0283,0.0526,0.0577,0.0102,0.0384,0.0079,0.0119,0.0350,0.0141,0.0243,0.0147,0.1278,0.1142,0.1221,0.0164,0.0215,0.0271,0.0362,0.1114,0.1215,0.1317,1.0000,0.1396,0.1396,0.1334,0.1425,0.1091,0.0102,0.0187,0.0198,0.0204,0.0181,0.0045,0.0220,0.0396
phys/physics_elasticity,0.0130,0.0328,0.0079,0.0311,0.0548,0.0831,0.0882,0.1102,0.0096,0.0107,0.0136,0.0379,0.0537,0.0102,0.0317,0.0085,0.0090,0.0204,0.0107,0.0158,0.0079,0.0876,0.0893,0.0916,0.0107,0.0153,0.0192,0.0294,0.0921,0.1023,0.1204,0.1396,1.0000,0.1012,0.0780,0.0955,0.1102,0.0079,0.0249,0.0260,0.0266,0.0192,0.0062,0.0204,0.0339
phys/physics_solubility,0.0090,0.0339,0.0107,0.0350,0.0447,0.0820,0.0718,0.0950,0.0113,0.0040,0.0085,0.0271,0.0469,0.0090,0.0328,0.0073,0.0085,0.0164,0.0090,0.0102,0.0090,0.0899,0.0786,0.0842,0.0045,0.0079,0.0187,0.0198,0.0904,0.0842,0.1085,0.1396,0.1012,1.0000,0.0921,0.0865,0.1278,0.0062,0.0232,0.0209,0.0243,0.0266,0.0073,0.0254,0.0339
phys/physics_speed,0.0102,0.0345,0.0079,0.0328,0.0791,0.0797,0.1159,0.0814,0.0096,0.0124,0.0181,0.0571,0.0430,0.0107,0.0350,0.0102,0.0107,0.0311,0.0107,0.0204,0.0102,0.1198,0.1074,0.0995,0.0124,0.0141,0.0204,0.0215,0.0871,0.0820,0.1097,0.1334,0.0780,0.0921,1.0000,0.1430,0.0825,0.0107,0.0130,0.0153,0.0187,0.0226,0.0057,0.0096,0.0153
phys/physics_stability,0.0136,0.0367,0.0130,0.0396,0.0741,0.0984,0.1261,0.1249,0.0113,0.0209,0.0243,0.0757,0.0577,0.0141,0.0350,0.0119,0.0153,0.0317,0.0107,0.0254,0.0175,0.1311,0.2256,0.1752,0.0158,0.0215,0.0260,0.0271,0.1193,0.1181,0.1187,0.1425,0.0955,0.0865,0.1430,1.0000,0.0933,0.0079,0.0164,0.0153,0.0147,0.0136,0.0079,0.0073,0.0266
phys/physics_temperature,0.0085,0.0362,0.0079,0.0328,0.0571,0.0888,0.0797,0.1125,0.0102,0.0057,0.0102,0.0367,0.0441,0.0119,0.0350,0.0090,0.0096,0.0209,0.0090,0.0147,0.0057,0.0854,0.0837,0.1227,0.0079,0.0102,0.0153,0.0254,0.0927,0.0955,0.0944,0.1091,0.1102,0.1278,0.0825,0.0933,1.0000,0.0096,0.0181,0.0175,0.0164,0.0209,0.0057,0.0204,0.0237
Lan/anaphor_gender_agreement,0.0034,0.0068,0.0051,0.0073,0.0034,0.0028,0.0057,0.0051,0.0057,0.0011,0.0006,0.0068,0.0113,0.0051,0.0051,0.0051,0.0057,0.0062,0.0051,0.0102,0.0090,0.0096,0.0102,0.0090,0.0119,0.0079,0.0085,0.0090,0.0102,0.0045,0.0113,0.0102,0.0079,0.0062,0.0107,0.0079,0.0096,1.0000,0.0373,0.0334,0.0322,0.0232,0.0237,0.0317,0.0096
Lan/det_noun_agreement_irregular,0.0062,0.0045,0.0051,0.0062,0.0017,0.0051,0.0057,0.0079,0.0062,0.0006,0.0011,0.0073,0.0124,0.0045,0.0051,0.0023,0.0051,0.0062,0.0028,0.0068,0.0045,0.0192,0.0096,0.0141,0.0040,0.0051,0.0062,0.0079,0.0090,0.0051,0.0141,0.0187,0.0249,0.0232,0.0130,0.0164,0.0181,0.0373,1.0000,0.4924,0.3901,0.0633,0.0175,0.0808,0.1340
Lan/det_noun_agreement_regular,0.0028,0.0028,0.0028,0.0051,0.0011,0.0051,0.0051,0.0090,0.0051,0.0000,0.0006,0.0079,0.0130,0.0028,0.0034,0.0017,0.0040,0.0051,0.0017,0.0045,0.0040,0.0158,0.0096,0.0147,0.0040,0.0045,0.0062,0.0062,0.0090,0.0057,0.0136,0.0198,0.0260,0.0209,0.0153,0.0153,0.0175,0.0334,0.4924,1.0000,0.4466,0.0701,0.0232,0.0774,0.1600
Lan/det_noun_agreement_with_adjective,0.0040,0.0051,0.0017,0.0034,0.0017,0.0068,0.0068,0.0096,0.0068,0.0000,0.0000,0.0090,0.0113,0.0023,0.0040,0.0011,0.0045,0.0068,0.0028,0.0028,0.0023,0.0147,0.0107,0.0141,0.0040,0.0034,0.0045,0.0062,0.0073,0.0062,0.0170,0.0204,0.0266,0.0243,0.0187,0.0147,0.0164,0.0322,0.3901,0.4466,1.0000,0.0763,0.0153,0.0820,0.1894
Lan/hypernymy,0.0023,0.0017,0.0017,0.0028,0.0017,0.0079,0.0045,0.0113,0.0040,0.0000,0.0000,0.0073,0.0164,0.0028,0.0023,0.0017,0.0023,0.0006,0.0017,0.0028,0.0028,0.0204,0.0136,0.0119,0.0011,0.0028,0.0023,0.0034,0.0096,0.0124,0.0164,0.0181,0.0192,0.0266,0.0226,0.0136,0.0209,0.0232,0.0633,0.0701,0.0763,1.0000,0.0141,0.0226,0.0407
Lan/npi,0.0023,0.0017,0.0028,0.0017,0.0017,0.0028,0.0057,0.0034,0.0028,0.0107,0.0057,0.0158,0.0102,0.0017,0.0017,0.0023,0.0040,0.0057,0.0017,0.0079,0.0045,0.0068,0.0079,0.0045,0.0057,0.0079,0.0051,0.0017,0.0057,0.0045,0.0057,0.0045,0.0062,0.0073,0.0057,0.0079,0.0057,0.0237,0.0175,0.0232,0.0153,0.0141,1.0000,0.0187,0.0113
Lan/subject_verb_agreement,0.0028,0.0040,0.0040,0.0017,0.0045,0.0040,0.0079,0.0057,0.0045,0.0000,0.0006,0.0051,0.0124,0.0034,0.0051,0.0006,0.0040,0.0045,0.0017,0.0045,0.0034,0.0136,0.0119,0.0068,0.0017,0.0034,0.0023,0.0045,0.0040,0.0051,0.0141,0.0220,0.0204,0.0254,0.0096,0.0073,0.0204,0.0317,0.0808,0.0774,0.0820,0.0226,0.0187,1.0000,0.0452
Lan/wug,0.0062,0.0079,0.0062,0.0051,0.0204,0.0435,0.0492,0.0543,0.0079,0.0034,0.0028,0.0170,0.0345,0.0051,0.0062,0.0034,0.0017,0.0073,0.0028,0.0023,0.0034,0.0249,0.0260,0.0260,0.0006,0.0028,0.0062,0.0051,0.0350,0.0305,0.0283,0.0396,0.0339,0.0339,0.0153,0.0266,0.0237,0.0096,0.1340,0.1600,0.1894,0.0407,0.0113,0.0452,1.0000
