,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/mul_div_3op_symbolic,0.3690,0.2727,0.2985,0.2331,0.2430,0.0488,0.0218,0.0182,0.3373,0.0166,0.0210,0.0151,0.0246,0.4273,0.2881,1.0000,0.0868,0.2850,0.0210,0.0353,0.0226,0.0262,0.0353,0.0230,0.0285,0.0218,0.0135,0.0297,0.0317,0.0353,0.0305,0.0044,0.0063,0.0052,0.0036,0.0024,0.0020,0.0048,0.0063
MD/number_sorting,0.0832,0.0733,0.0920,0.0848,0.0892,0.0559,0.0262,0.0262,0.0816,0.0384,0.0559,0.0317,0.0412,0.0892,0.0598,0.0868,1.0000,0.0824,0.0337,0.0480,0.0384,0.0448,0.0440,0.0384,0.0361,0.0349,0.0226,0.0674,0.0428,0.0543,0.0551,0.0071,0.0040,0.0052,0.0040,0.0028,0.0071,0.0048,0.0055
MD/simple_equation,0.3111,0.2691,0.2477,0.2386,0.2267,0.0452,0.0214,0.0139,0.3163,0.0230,0.0258,0.0222,0.0289,0.3064,0.2616,0.2850,0.0824,1.0000,0.0194,0.0349,0.0178,0.0234,0.0289,0.0230,0.0273,0.0170,0.0111,0.0317,0.0281,0.0293,0.0317,0.0040,0.0028,0.0020,0.0012,0.0012,0.0028,0.0040,0.0044
ToM/agent,0.0186,0.0166,0.0258,0.0230,0.0384,0.0246,0.0432,0.0210,0.0159,0.0464,0.0709,0.0678,0.0373,0.0190,0.0115,0.0210,0.0337,0.0194,1.0000,0.0935,0.0491,0.0384,0.0900,0.1772,0.1411,0.0420,0.0396,0.0436,0.0321,0.0238,0.0325,0.0055,0.0055,0.0052,0.0040,0.0012,0.0091,0.0044,0.0028
ToM/desires_goals,0.0329,0.0309,0.0519,0.0373,0.0305,0.0293,0.0194,0.0254,0.0281,0.0329,0.0400,0.0380,0.0305,0.0404,0.0210,0.0353,0.0480,0.0349,0.0935,1.0000,0.0369,0.0416,0.1193,0.1478,0.1094,0.0305,0.0218,0.0567,0.0448,0.0369,0.0353,0.0111,0.0103,0.0071,0.0044,0.0016,0.0099,0.0107,0.0048
ToM/emotion_fewshot,0.0170,0.0250,0.0258,0.0337,0.0587,0.0686,0.0765,0.0706,0.0163,0.0277,0.0305,0.0404,0.0321,0.0186,0.0254,0.0226,0.0384,0.0178,0.0491,0.0369,1.0000,0.1177,0.0622,0.0468,0.0476,0.0745,0.0690,0.0967,0.0785,0.0702,0.0682,0.0087,0.0111,0.0139,0.0139,0.0131,0.0067,0.0111,0.0163
ToM/norm_appropriate,0.0281,0.0333,0.0317,0.0380,0.0630,0.0630,0.0757,0.0575,0.0186,0.0222,0.0365,0.0400,0.0285,0.0250,0.0309,0.0262,0.0448,0.0234,0.0384,0.0416,0.1177,1.0000,0.0539,0.0361,0.0424,0.0618,0.0571,0.0959,0.0777,0.0896,0.0900,0.0087,0.0111,0.0079,0.0079,0.0032,0.0071,0.0123,0.0135
ToM/primary_emotions,0.0333,0.0234,0.0424,0.0341,0.0333,0.0218,0.0289,0.0182,0.0254,0.0281,0.0404,0.0289,0.0305,0.0341,0.0202,0.0353,0.0440,0.0289,0.0900,0.1193,0.0622,0.0539,1.0000,0.1177,0.0844,0.0270,0.0246,0.0436,0.0377,0.0384,0.0361,0.0095,0.0059,0.0059,0.0052,0.0024,0.0079,0.0083,0.0044
ToM/social_interactions,0.0242,0.0254,0.0329,0.0301,0.0329,0.0317,0.0365,0.0309,0.0155,0.0400,0.0460,0.0515,0.0349,0.0254,0.0166,0.0230,0.0384,0.0230,0.1772,0.1478,0.0468,0.0361,0.1177,1.0000,0.1756,0.0464,0.0416,0.0503,0.0333,0.0305,0.0396,0.0075,0.0087,0.0059,0.0040,0.0016,0.0103,0.0044,0.0052
ToM/social_relations,0.0206,0.0281,0.0349,0.0361,0.0543,0.0630,0.0626,0.0658,0.0178,0.0440,0.0535,0.0595,0.0416,0.0258,0.0214,0.0285,0.0361,0.0273,0.1411,0.1094,0.0476,0.0424,0.0844,0.1756,1.0000,0.0848,0.0686,0.0495,0.0488,0.0388,0.0460,0.0107,0.0048,0.0055,0.0040,0.0020,0.0083,0.0067,0.0052
phys/phys_newton,0.0226,0.0797,0.0226,0.0499,0.1819,0.3555,0.2604,0.3714,0.0147,0.0983,0.0864,0.0840,0.0999,0.0277,0.0733,0.0218,0.0349,0.0170,0.0420,0.0305,0.0745,0.0618,0.0270,0.0464,0.0848,1.0000,0.5541,0.0860,0.0816,0.0694,0.0745,0.0115,0.0095,0.0071,0.0044,0.0182,0.0032,0.0032,0.0325
phys/phys_prost,0.0139,0.0757,0.0147,0.0408,0.1811,0.3892,0.2687,0.4217,0.0087,0.0634,0.0706,0.0729,0.0733,0.0194,0.0678,0.0135,0.0226,0.0111,0.0396,0.0218,0.0690,0.0571,0.0246,0.0416,0.0686,0.5541,1.0000,0.0820,0.0828,0.0614,0.0852,0.0087,0.0079,0.0087,0.0059,0.0214,0.0016,0.0020,0.0373
phys/physics_buoyancy,0.0333,0.0511,0.0436,0.0484,0.0602,0.1034,0.0658,0.0967,0.0285,0.0262,0.0476,0.0377,0.0293,0.0369,0.0511,0.0297,0.0674,0.0317,0.0436,0.0567,0.0967,0.0959,0.0436,0.0503,0.0495,0.0860,0.0820,1.0000,0.1407,0.1799,0.1399,0.0091,0.0143,0.0135,0.0159,0.0063,0.0032,0.0206,0.0444
phys/physics_elasticity,0.0254,0.0345,0.0337,0.0373,0.0583,0.0876,0.0678,0.0789,0.0230,0.0238,0.0377,0.0384,0.0242,0.0281,0.0361,0.0317,0.0428,0.0281,0.0321,0.0448,0.0785,0.0777,0.0377,0.0333,0.0488,0.0816,0.0828,0.1407,1.0000,0.1260,0.1031,0.0099,0.0135,0.0131,0.0119,0.0059,0.0067,0.0206,0.0305
phys/physics_solubility,0.0293,0.0452,0.0325,0.0420,0.0575,0.0892,0.0583,0.0820,0.0266,0.0214,0.0313,0.0273,0.0186,0.0345,0.0424,0.0353,0.0543,0.0293,0.0238,0.0369,0.0702,0.0896,0.0384,0.0305,0.0388,0.0694,0.0614,0.1799,0.1260,1.0000,0.1522,0.0103,0.0147,0.0139,0.0163,0.0091,0.0055,0.0230,0.0361
phys/physics_temperature,0.0349,0.0424,0.0377,0.0480,0.0670,0.1019,0.0733,0.0955,0.0250,0.0159,0.0337,0.0238,0.0246,0.0357,0.0448,0.0305,0.0551,0.0317,0.0325,0.0353,0.0682,0.0900,0.0361,0.0396,0.0460,0.0745,0.0852,0.1399,0.1031,0.1522,1.0000,0.0095,0.0139,0.0095,0.0075,0.0059,0.0052,0.0135,0.0266
Lan/anaphor_gender_agreement,0.0075,0.0048,0.0091,0.0075,0.0075,0.0115,0.0052,0.0127,0.0063,0.0008,0.0008,0.0040,0.0028,0.0059,0.0052,0.0044,0.0071,0.0040,0.0055,0.0111,0.0087,0.0087,0.0095,0.0075,0.0107,0.0115,0.0087,0.0091,0.0099,0.0103,0.0095,1.0000,0.0317,0.0202,0.0309,0.0277,0.0119,0.0277,0.0055
Lan/det_noun_agreement_irregular,0.0075,0.0071,0.0059,0.0087,0.0059,0.0099,0.0059,0.0079,0.0075,0.0028,0.0004,0.0032,0.0004,0.0055,0.0099,0.0063,0.0040,0.0028,0.0055,0.0103,0.0111,0.0111,0.0059,0.0087,0.0048,0.0095,0.0079,0.0143,0.0135,0.0147,0.0139,0.0317,1.0000,0.5656,0.4471,0.0515,0.0083,0.0650,0.1122
Lan/det_noun_agreement_regular,0.0067,0.0095,0.0079,0.0095,0.0052,0.0115,0.0059,0.0087,0.0036,0.0036,0.0008,0.0020,0.0012,0.0040,0.0107,0.0052,0.0052,0.0020,0.0052,0.0071,0.0139,0.0079,0.0059,0.0059,0.0055,0.0071,0.0087,0.0135,0.0131,0.0139,0.0095,0.0202,0.5656,1.0000,0.4990,0.0456,0.0091,0.0709,0.1256
Lan/det_noun_agreement_with_adjective,0.0032,0.0052,0.0044,0.0055,0.0032,0.0103,0.0059,0.0079,0.0024,0.0032,0.0004,0.0024,0.0004,0.0032,0.0063,0.0036,0.0040,0.0012,0.0040,0.0044,0.0139,0.0079,0.0052,0.0040,0.0040,0.0044,0.0059,0.0159,0.0119,0.0163,0.0075,0.0309,0.4471,0.4990,1.0000,0.0523,0.0083,0.0729,0.1467
Lan/hypernymy,0.0020,0.0008,0.0008,0.0032,0.0036,0.0095,0.0071,0.0107,0.0012,0.0004,0.0004,0.0032,0.0012,0.0016,0.0028,0.0024,0.0028,0.0012,0.0012,0.0016,0.0131,0.0032,0.0024,0.0016,0.0020,0.0182,0.0214,0.0063,0.0059,0.0091,0.0059,0.0277,0.0515,0.0456,0.0523,1.0000,0.0063,0.0103,0.0123
Lan/npi,0.0052,0.0059,0.0044,0.0067,0.0055,0.0052,0.0067,0.0032,0.0040,0.0040,0.0012,0.0127,0.0024,0.0040,0.0071,0.0020,0.0071,0.0028,0.0091,0.0099,0.0067,0.0071,0.0079,0.0103,0.0083,0.0032,0.0016,0.0032,0.0067,0.0055,0.0052,0.0119,0.0083,0.0091,0.0083,0.0063,1.0000,0.0170,0.0036
Lan/subject_verb_agreement,0.0052,0.0024,0.0075,0.0024,0.0079,0.0036,0.0059,0.0059,0.0055,0.0012,0.0016,0.0040,0.0004,0.0055,0.0044,0.0048,0.0048,0.0040,0.0044,0.0107,0.0111,0.0123,0.0083,0.0044,0.0067,0.0032,0.0020,0.0206,0.0206,0.0230,0.0135,0.0277,0.0650,0.0709,0.0729,0.0103,0.0170,1.0000,0.0337
Lan/wug,0.0067,0.0143,0.0044,0.0103,0.0277,0.0480,0.0503,0.0551,0.0059,0.0063,0.0032,0.0194,0.0063,0.0075,0.0174,0.0063,0.0055,0.0044,0.0028,0.0048,0.0163,0.0135,0.0044,0.0052,0.0052,0.0325,0.0373,0.0444,0.0305,0.0361,0.0266,0.0055,0.1122,0.1256,0.1467,0.0123,0.0036,0.0337,1.0000
