,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.0394,0.0451,0.0427,0.0518,0.0552,0.0484,0.0554,0.0436,0.0338,0.1188,1.0000,0.0604,0.1204,0.0377,0.0380,0.0368,0.0725,0.0421,0.0708,0.0621,0.0411,0.0494,0.0459,0.0612,0.0679,0.0980,0.0781,0.0569,0.0432,0.0490,0.0411,0.0158,0.0152,0.0141,0.0128,0.0097,0.0205,0.0115,0.0236
MD/logic_syllogism_1,0.0473,0.0612,0.0472,0.0588,0.0975,0.0715,0.1125,0.0658,0.0466,0.0544,0.0604,1.0000,0.0562,0.0456,0.0539,0.0432,0.0480,0.0497,0.0619,0.0429,0.0445,0.0524,0.0428,0.0576,0.0549,0.0839,0.0820,0.0484,0.0456,0.0445,0.0438,0.0195,0.0220,0.0209,0.0172,0.0154,0.0298,0.0164,0.0349
MD/logic_syllogism_symbolic,0.0410,0.0442,0.0423,0.0477,0.0580,0.0529,0.0568,0.0487,0.0404,0.1745,0.1204,0.0562,1.0000,0.0405,0.0380,0.0378,0.0555,0.0456,0.0537,0.0470,0.0346,0.0385,0.0375,0.0490,0.0530,0.1072,0.0880,0.0430,0.0342,0.0365,0.0338,0.0171,0.0145,0.0141,0.0133,0.0114,0.0181,0.0121,0.0236
MD/mul_div_2op_symbolic,0.1851,0.1359,0.1784,0.1163,0.1401,0.0872,0.0604,0.0648,0.1691,0.0346,0.0377,0.0456,0.0405,1.0000,0.1403,0.2277,0.0657,0.1496,0.0384,0.0423,0.0461,0.0474,0.0426,0.0436,0.0455,0.0530,0.0510,0.0558,0.0543,0.0518,0.0562,0.0303,0.0336,0.0322,0.0245,0.0178,0.0224,0.0282,0.0370
MD/mul_div_2op_verbal,0.1252,0.3306,0.1147,0.2346,0.1571,0.1637,0.1084,0.1478,0.1219,0.0321,0.0380,0.0539,0.0380,0.1403,1.0000,0.1216,0.0673,0.1234,0.0373,0.0516,0.0675,0.0679,0.0456,0.0460,0.0508,0.0965,0.1052,0.0892,0.0803,0.0860,0.0874,0.0448,0.0568,0.0540,0.0457,0.0339,0.0288,0.0419,0.0769
MD/mul_div_3op_symbolic,0.1731,0.1187,0.1728,0.1118,0.1205,0.0809,0.0550,0.0567,0.1560,0.0315,0.0368,0.0432,0.0378,0.2277,0.1216,1.0000,0.0642,0.1363,0.0363,0.0413,0.0446,0.0438,0.0426,0.0417,0.0440,0.0477,0.0475,0.0524,0.0524,0.0478,0.0516,0.0247,0.0317,0.0323,0.0237,0.0164,0.0206,0.0266,0.0339
MD/number_sorting,0.0672,0.0713,0.0699,0.0748,0.0814,0.0658,0.0523,0.0530,0.0652,0.0506,0.0725,0.0480,0.0555,0.0657,0.0673,0.0642,1.0000,0.0716,0.0528,0.0536,0.0474,0.0525,0.0452,0.0522,0.0537,0.0662,0.0590,0.0660,0.0507,0.0576,0.0570,0.0235,0.0228,0.0223,0.0191,0.0130,0.0224,0.0215,0.0311
MD/simple_equation,0.1350,0.1302,0.1279,0.1243,0.1329,0.0824,0.0602,0.0620,0.1496,0.0385,0.0421,0.0497,0.0456,0.1496,0.1234,0.1363,0.0716,1.0000,0.0404,0.0471,0.0466,0.0454,0.0465,0.0453,0.0461,0.0516,0.0510,0.0562,0.0511,0.0507,0.0532,0.0264,0.0300,0.0301,0.0220,0.0145,0.0231,0.0228,0.0355
ToM/agent,0.0403,0.0442,0.0413,0.0486,0.0514,0.0451,0.0517,0.0398,0.0327,0.0569,0.0708,0.0619,0.0537,0.0384,0.0373,0.0363,0.0528,0.0404,1.0000,0.0872,0.0472,0.0578,0.0939,0.1640,0.1289,0.0693,0.0654,0.0611,0.0449,0.0440,0.0426,0.0206,0.0221,0.0214,0.0179,0.0139,0.0300,0.0162,0.0235
ToM/desires_goals,0.0419,0.0528,0.0494,0.0554,0.0514,0.0516,0.0436,0.0459,0.0400,0.0457,0.0621,0.0429,0.0470,0.0423,0.0516,0.0413,0.0536,0.0471,0.0872,1.0000,0.0493,0.0535,0.1037,0.1158,0.0956,0.0589,0.0534,0.0650,0.0478,0.0552,0.0488,0.0270,0.0283,0.0275,0.0239,0.0179,0.0274,0.0220,0.0303
ToM/emotion_fewshot,0.0422,0.0679,0.0499,0.0612,0.0784,0.0913,0.0834,0.0955,0.0431,0.0354,0.0411,0.0445,0.0346,0.0461,0.0675,0.0446,0.0474,0.0466,0.0472,0.0493,1.0000,0.1170,0.0591,0.0542,0.0510,0.0715,0.0782,0.1070,0.0927,0.0885,0.0944,0.0361,0.0463,0.0461,0.0430,0.0359,0.0244,0.0355,0.0545
ToM/norm_appropriate,0.0452,0.0681,0.0501,0.0625,0.0772,0.0907,0.0845,0.0883,0.0429,0.0380,0.0494,0.0524,0.0385,0.0474,0.0679,0.0438,0.0525,0.0454,0.0578,0.0535,0.1170,1.0000,0.0552,0.0585,0.0553,0.0761,0.0791,0.1132,0.0826,0.0992,0.0931,0.0329,0.0435,0.0408,0.0373,0.0287,0.0303,0.0321,0.0540
ToM/primary_emotions,0.0411,0.0465,0.0454,0.0486,0.0498,0.0481,0.0422,0.0431,0.0392,0.0382,0.0459,0.0428,0.0375,0.0426,0.0456,0.0426,0.0452,0.0465,0.0939,0.1037,0.0591,0.0552,1.0000,0.1003,0.0808,0.0490,0.0457,0.0536,0.0471,0.0455,0.0444,0.0265,0.0274,0.0268,0.0235,0.0166,0.0257,0.0214,0.0252
ToM/social_interactions,0.0422,0.0504,0.0426,0.0532,0.0560,0.0555,0.0536,0.0493,0.0382,0.0499,0.0612,0.0576,0.0490,0.0436,0.0460,0.0417,0.0522,0.0453,0.1640,0.1158,0.0542,0.0585,0.1003,1.0000,0.1386,0.0673,0.0650,0.0644,0.0499,0.0510,0.0491,0.0247,0.0275,0.0271,0.0228,0.0157,0.0275,0.0208,0.0276
ToM/social_relations,0.0437,0.0536,0.0459,0.0537,0.0604,0.0648,0.0574,0.0595,0.0395,0.0558,0.0679,0.0549,0.0530,0.0455,0.0508,0.0440,0.0537,0.0461,0.1289,0.0956,0.0510,0.0553,0.0808,0.1386,1.0000,0.0800,0.0743,0.0613,0.0532,0.0511,0.0545,0.0258,0.0300,0.0283,0.0237,0.0184,0.0275,0.0227,0.0306
phys/phys_newton,0.0547,0.1074,0.0556,0.0833,0.1502,0.2484,0.1761,0.2469,0.0492,0.1112,0.0980,0.0839,0.1072,0.0530,0.0965,0.0477,0.0662,0.0516,0.0693,0.0589,0.0715,0.0761,0.0490,0.0673,0.0800,1.0000,0.4347,0.0894,0.0805,0.0830,0.0802,0.0379,0.0427,0.0430,0.0442,0.0528,0.0250,0.0291,0.0852
phys/phys_prost,0.0533,0.1164,0.0556,0.0836,0.1636,0.2778,0.1989,0.2873,0.0481,0.0856,0.0781,0.0820,0.0880,0.0510,0.1052,0.0475,0.0590,0.0510,0.0654,0.0534,0.0782,0.0791,0.0457,0.0650,0.0743,0.4347,1.0000,0.0956,0.0906,0.0855,0.0919,0.0431,0.0533,0.0508,0.0516,0.0642,0.0253,0.0344,0.0995
phys/physics_buoyancy,0.0529,0.0855,0.0586,0.0719,0.0859,0.1149,0.0882,0.1179,0.0512,0.0417,0.0569,0.0484,0.0430,0.0558,0.0892,0.0524,0.0660,0.0562,0.0611,0.0650,0.1070,0.1132,0.0536,0.0644,0.0613,0.0894,0.0956,1.0000,0.1370,0.1696,0.1276,0.0369,0.0562,0.0550,0.0503,0.0370,0.0271,0.0426,0.0764
phys/physics_elasticity,0.0510,0.0788,0.0572,0.0682,0.0848,0.1042,0.0866,0.1060,0.0513,0.0339,0.0432,0.0456,0.0342,0.0543,0.0803,0.0524,0.0507,0.0511,0.0449,0.0478,0.0927,0.0826,0.0471,0.0499,0.0532,0.0805,0.0906,0.1370,1.0000,0.1271,0.1162,0.0387,0.0532,0.0509,0.0481,0.0372,0.0264,0.0401,0.0719
phys/physics_solubility,0.0493,0.0793,0.0542,0.0693,0.0805,0.1093,0.0818,0.1089,0.0476,0.0366,0.0490,0.0445,0.0365,0.0518,0.0860,0.0478,0.0576,0.0507,0.0440,0.0552,0.0885,0.0992,0.0455,0.0510,0.0511,0.0830,0.0855,0.1696,0.1271,1.0000,0.1599,0.0399,0.0566,0.0549,0.0516,0.0361,0.0283,0.0431,0.0730
phys/physics_temperature,0.0517,0.0833,0.0581,0.0695,0.0864,0.1181,0.0853,0.1206,0.0520,0.0300,0.0411,0.0438,0.0338,0.0562,0.0874,0.0516,0.0570,0.0532,0.0426,0.0488,0.0944,0.0931,0.0444,0.0491,0.0545,0.0802,0.0919,0.1276,0.1162,0.1599,1.0000,0.0364,0.0543,0.0487,0.0451,0.0343,0.0238,0.0382,0.0674
Lan/anaphor_gender_agreement,0.0285,0.0402,0.0306,0.0313,0.0367,0.0603,0.0407,0.0623,0.0273,0.0141,0.0158,0.0195,0.0171,0.0303,0.0448,0.0247,0.0235,0.0264,0.0206,0.0270,0.0361,0.0329,0.0265,0.0247,0.0258,0.0379,0.0431,0.0369,0.0387,0.0399,0.0364,1.0000,0.0757,0.0727,0.0760,0.0604,0.0416,0.0578,0.0499
Lan/det_noun_agreement_irregular,0.0303,0.0508,0.0365,0.0410,0.0463,0.0740,0.0492,0.0750,0.0329,0.0140,0.0152,0.0220,0.0145,0.0336,0.0568,0.0317,0.0228,0.0300,0.0221,0.0283,0.0463,0.0435,0.0274,0.0275,0.0300,0.0427,0.0533,0.0562,0.0532,0.0566,0.0543,0.0757,1.0000,0.4582,0.3371,0.0969,0.0468,0.0887,0.1154
Lan/det_noun_agreement_regular,0.0285,0.0479,0.0366,0.0388,0.0447,0.0712,0.0459,0.0739,0.0331,0.0141,0.0141,0.0209,0.0141,0.0322,0.0540,0.0323,0.0223,0.0301,0.0214,0.0275,0.0461,0.0408,0.0268,0.0271,0.0283,0.0430,0.0508,0.0550,0.0509,0.0549,0.0487,0.0727,0.4582,1.0000,0.3457,0.0973,0.0460,0.0883,0.1241
Lan/det_noun_agreement_with_adjective,0.0229,0.0403,0.0283,0.0313,0.0363,0.0670,0.0440,0.0700,0.0247,0.0143,0.0128,0.0172,0.0133,0.0245,0.0457,0.0237,0.0191,0.0220,0.0179,0.0239,0.0430,0.0373,0.0235,0.0228,0.0237,0.0442,0.0516,0.0503,0.0481,0.0516,0.0451,0.0760,0.3371,0.3457,1.0000,0.1001,0.0454,0.0883,0.1317
Lan/hypernymy,0.0156,0.0287,0.0200,0.0207,0.0302,0.0658,0.0408,0.0725,0.0177,0.0113,0.0097,0.0154,0.0114,0.0178,0.0339,0.0164,0.0130,0.0145,0.0139,0.0179,0.0359,0.0287,0.0166,0.0157,0.0184,0.0528,0.0642,0.0370,0.0372,0.0361,0.0343,0.0604,0.0969,0.0973,0.1001,1.0000,0.0266,0.0481,0.0539
Lan/npi,0.0198,0.0295,0.0244,0.0275,0.0281,0.0302,0.0310,0.0282,0.0224,0.0198,0.0205,0.0298,0.0181,0.0224,0.0288,0.0206,0.0224,0.0231,0.0300,0.0274,0.0244,0.0303,0.0257,0.0275,0.0275,0.0250,0.0253,0.0271,0.0264,0.0283,0.0238,0.0416,0.0468,0.0460,0.0454,0.0266,1.0000,0.0403,0.0335
Lan/subject_verb_agreement,0.0249,0.0340,0.0299,0.0319,0.0356,0.0491,0.0370,0.0530,0.0268,0.0117,0.0115,0.0164,0.0121,0.0282,0.0419,0.0266,0.0215,0.0228,0.0162,0.0220,0.0355,0.0321,0.0214,0.0208,0.0227,0.0291,0.0344,0.0426,0.0401,0.0431,0.0382,0.0578,0.0887,0.0883,0.0883,0.0481,0.0403,1.0000,0.0691
Lan/wug,0.0359,0.0716,0.0407,0.0552,0.0752,0.1239,0.0891,0.1279,0.0367,0.0231,0.0236,0.0349,0.0236,0.0370,0.0769,0.0339,0.0311,0.0355,0.0235,0.0303,0.0545,0.0540,0.0252,0.0276,0.0306,0.0852,0.0995,0.0764,0.0719,0.0730,0.0674,0.0499,0.1154,0.1241,0.1317,0.0539,0.0335,0.0691,1.0000
