source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_temperature,phys/spatial
MD/add_sub_3op_symbolic,0.0000,0.0026,0.0055,0.0013,0.0000,0.0000,0.0000,0.0000,0.7000,0.4879,0.7014,0.5043,0.4478,0.0119,0.0000,0.0000,0.7771,0.0348,0.5207,0.0000,0.0182,0.4846,0.3482,0.4475,0.0741,0.4982,0.0016,0.0000,0.0129,0.0000,0.0186,0.0000,0.0088,0.0132,0.0098,0.0065,0.0000,0.0000,0.0000,0.0000,0.0149
MD/add_sub_3op_verbal,0.0000,0.0026,0.0022,0.0040,0.0038,0.0000,0.0000,0.0010,0.8184,0.9320,0.8158,0.8923,0.4767,0.0574,0.0000,0.0100,0.7036,0.0319,0.4097,0.0010,0.0193,0.7695,0.9005,0.5307,0.2154,0.6331,0.0161,0.0086,0.0371,0.0000,0.0351,0.0000,0.0531,0.0330,0.0271,0.0332,0.0241,0.0000,0.0185,0.0000,0.0448
MD/code_A,0.0000,0.0026,0.0022,0.0040,0.0038,0.0000,0.0000,0.0025,0.8143,0.4094,0.7378,0.3299,0.9222,0.2695,1.0000,0.1510,0.8767,0.1043,0.6352,0.9830,0.0620,0.6955,0.3739,0.5716,0.5291,0.5881,0.0952,0.0414,0.2100,0.0011,0.2562,0.0290,0.1327,0.2013,0.2706,0.2417,0.0722,0.0000,0.1033,0.0093,0.3060
MD/code_B,0.0000,0.0064,0.0099,0.0080,0.0038,0.0000,0.0014,0.0084,0.0020,0.0498,0.0083,0.0308,0.1878,0.8203,0.4940,0.7800,0.0147,0.1348,0.2444,0.0010,0.0738,0.0041,0.0617,0.0382,0.0050,0.0414,0.1032,0.0329,0.1500,0.0011,0.0847,0.0362,0.2035,0.3102,0.5117,0.5784,0.7182,0.0000,0.4982,0.1667,0.4328
MD/code_conditional,0.0000,0.0051,0.0066,0.0040,0.0000,0.0000,0.0014,0.0114,0.0000,0.0076,0.0021,0.0085,0.3522,0.3452,1.0000,0.2490,0.0023,0.1899,0.2704,0.9970,0.0770,0.0000,0.0034,0.0123,0.1373,0.0162,0.1419,0.0386,0.2586,0.0011,0.2831,0.0507,0.1858,0.2871,0.3813,0.3561,0.0722,0.0078,0.1255,0.0154,0.3284
MD/code_list,0.0000,0.0064,0.0099,0.0146,0.0000,0.0000,0.0014,0.0094,0.0000,0.0091,0.0031,0.0085,0.1056,0.6472,0.3020,0.9280,0.0011,0.1928,0.1322,0.0010,0.0556,0.0000,0.0120,0.0136,0.0020,0.0144,0.0984,0.0371,0.1786,0.0000,0.0847,0.0580,0.1947,0.3498,0.5314,0.5932,0.7388,0.0000,0.2030,0.1111,0.3060
MD/code_loop,0.0000,0.0026,0.0022,0.0000,0.0038,0.0000,0.0000,0.0000,0.7827,0.5846,0.7055,0.5009,0.5811,0.0087,0.0000,0.0000,0.9943,0.0101,0.5620,0.0000,0.0214,0.7963,0.6055,0.7244,0.1152,0.6763,0.0016,0.0086,0.0129,0.0000,0.0041,0.0000,0.0088,0.0066,0.0012,0.0009,0.0137,0.0000,0.0000,0.0000,0.0075
MD/logic_propositional_1,0.0000,0.0013,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0051,0.0067,0.0379,0.0000,0.0000,0.0023,0.5957,0.5396,0.0010,0.5262,0.0000,0.0000,0.0068,0.0000,0.0072,0.0532,0.0100,0.0757,0.0000,0.0579,0.0362,0.0619,0.2211,0.0886,0.0424,0.1443,0.0000,0.0295,0.0031,0.0597
MD/logic_propositional_symbolic,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0111,0.0465,0.0000,0.0010,0.0023,0.1826,0.5171,0.0510,0.1925,0.0000,0.0017,0.0082,0.0000,0.0126,0.0629,0.0086,0.0600,0.0011,0.0496,0.0507,0.0708,0.2442,0.0775,0.0415,0.0172,0.0000,0.0185,0.0062,0.0821
MD/logic_syllogism_1,0.0000,0.0013,0.0055,0.0013,0.0000,0.0034,0.0000,0.0064,0.0000,0.0030,0.0021,0.0068,0.0667,0.0325,0.1110,0.0030,0.0011,0.2275,0.1641,1.0000,0.0813,0.0041,0.0034,0.0109,0.1182,0.0126,0.1242,0.0043,0.1529,0.0011,0.1694,0.0145,0.1062,0.0693,0.0504,0.0387,0.0515,0.0000,0.0221,0.0000,0.0672
MD/logic_syllogism_symbolic,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0014,0.0005,0.0000,0.0015,0.0000,0.0000,0.0078,0.0260,0.0000,0.0030,0.0011,0.4478,0.4805,0.0020,0.5316,0.0000,0.0017,0.0109,0.0000,0.0090,0.0565,0.0100,0.0843,0.0011,0.0558,0.0507,0.0442,0.2310,0.1218,0.0600,0.0309,0.0000,0.0295,0.0031,0.0597
MD/mul_div_2op_symbolic,0.0000,0.0013,0.0033,0.0000,0.0038,0.0000,0.0000,0.0000,0.8949,0.7825,0.8710,0.7504,0.5400,0.0152,0.0000,0.0000,0.9118,0.0319,0.5466,0.0000,0.0107,0.9434,0.8079,0.8377,0.1012,0.7986,0.0000,0.0143,0.0043,0.0000,0.0145,0.0000,0.0265,0.0033,0.0062,0.0009,0.0069,0.0000,0.0037,0.0000,0.0000
MD/mul_div_2op_verbal,0.0000,0.0000,0.0022,0.0027,0.0038,0.0000,0.0000,0.0015,0.9316,0.9789,0.9490,0.9487,0.5122,0.0411,0.0000,0.0180,0.8428,0.0435,0.4510,0.0000,0.0064,0.9918,0.9914,0.8254,0.0711,0.8633,0.0065,0.0243,0.0214,0.0000,0.0310,0.0072,0.0442,0.0231,0.0480,0.0351,0.0687,0.0000,0.0221,0.0093,0.0000
MD/mul_div_3op_symbolic,0.0000,0.0013,0.0033,0.0013,0.0000,0.0000,0.0000,0.0010,0.8439,0.6148,0.8356,0.5538,0.5300,0.0032,0.0000,0.0000,0.8937,0.0232,0.5384,0.0000,0.0107,0.8663,0.6981,0.8431,0.0862,0.7122,0.0016,0.0100,0.0086,0.0000,0.0227,0.0000,0.0177,0.0033,0.0037,0.0009,0.0000,0.0000,0.0037,0.0000,0.0075
MD/number_sorting,0.0000,0.0038,0.0033,0.0013,0.0000,0.0000,0.0000,0.0000,0.0041,0.0121,0.0083,0.0085,0.0178,0.0184,0.0000,0.0010,0.0147,0.0058,0.1074,0.0000,0.0160,0.0051,0.0274,0.0437,0.0621,0.0306,0.0161,0.0071,0.0329,0.0000,0.0021,0.0072,0.0177,0.1089,0.0357,0.0295,0.0137,0.0000,0.0000,0.0031,0.0448
MD/simple_equation,0.0000,0.0026,0.0033,0.0000,0.0000,0.0000,0.0014,0.0000,0.8255,0.6495,0.8085,0.5932,0.5644,0.0022,0.0000,0.0000,0.8620,0.0087,0.4982,0.0000,0.0000,0.8755,0.6226,0.6835,0.2525,0.7788,0.0016,0.0014,0.0143,0.0000,0.0062,0.0000,0.0088,0.0033,0.0062,0.0000,0.0103,0.0000,0.0000,0.0000,0.0000
ToM/agent,0.0000,0.0038,0.0066,0.0080,0.0038,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0022,0.0498,0.0000,0.0000,0.0011,0.1797,0.1558,0.0930,0.0759,0.0000,0.0000,0.0041,0.0000,0.0072,0.0403,0.0057,0.0971,0.0011,0.0558,0.0435,0.0531,0.2244,0.0394,0.0424,0.0241,0.0000,0.0037,0.0031,0.0597
ToM/desires_goals,0.0000,0.0026,0.0033,0.0013,0.0000,0.0000,0.0028,0.0005,0.0000,0.0000,0.0000,0.0000,0.0011,0.0054,0.0000,0.0000,0.0034,0.0261,0.0024,0.0000,0.0032,0.0000,0.0000,0.0041,0.0000,0.0054,0.0113,0.0000,0.0414,0.0000,0.0041,0.0000,0.0265,0.0066,0.0074,0.0074,0.0069,0.0000,0.0000,0.0000,0.0224
ToM/emotion_fewshot,0.0000,0.0051,0.0099,0.0119,0.0038,0.0000,0.0000,0.0025,0.0000,0.0000,0.0010,0.0051,0.0022,0.0227,0.0000,0.0240,0.0011,0.0406,0.0649,0.0010,0.0310,0.0000,0.0000,0.0027,0.0000,0.0072,0.0226,0.0200,0.8986,0.0000,1.0000,0.0072,0.0354,0.0792,0.0898,0.0959,0.1512,0.0000,0.0443,0.0000,0.0448
ToM/norm_appropriate,0.0000,0.0077,0.0066,0.0027,0.0038,0.0000,0.0000,0.0015,0.0000,0.0000,0.0010,0.0017,0.0022,0.0119,0.0000,0.0020,0.0011,0.0565,0.0295,0.0020,0.0096,0.0000,0.0000,0.0055,0.0000,0.0090,0.0177,0.0071,0.2729,1.0000,0.3099,0.0000,0.0354,0.0363,0.0480,0.0332,0.0137,0.0000,0.0037,0.0031,0.0373
ToM/primary_emotions,0.0000,0.0051,0.0055,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0033,0.0032,0.0000,0.0000,0.0011,0.0420,0.0130,0.0010,0.0021,0.0010,0.0000,0.0041,0.0000,0.0162,0.0048,0.0614,0.2343,0.0000,0.2397,0.0072,0.0088,0.0165,0.0074,0.0046,0.0000,0.0000,0.0074,0.0000,0.0149
ToM/social_interactions,0.0000,0.0038,0.0055,0.0027,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0010,0.0017,0.0011,0.0108,0.0000,0.0030,0.0011,0.0928,0.0519,0.0030,0.0182,0.0000,0.0000,0.0055,0.0000,0.0144,0.0226,0.0057,0.0543,0.0000,0.0558,0.0290,0.0531,0.1452,0.0504,0.0378,0.0137,0.0000,0.0111,0.0062,0.0597
ToM/social_relations,0.0000,0.0026,0.0011,0.0013,0.0038,0.0000,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0056,0.0855,0.0000,0.0130,0.0023,0.1522,0.1287,0.0160,0.0749,0.0000,0.0000,0.0027,0.0000,0.0036,0.0387,0.0071,0.0643,0.0000,0.0310,0.0290,0.1239,0.2442,0.1132,0.1033,0.0241,0.0000,0.0074,0.0062,0.0672
phys/material,0.0000,0.0051,0.0044,0.0053,0.0038,0.0000,0.0000,0.0044,0.0000,0.0000,0.0000,0.0000,0.0033,0.0087,0.0000,0.0000,0.0011,0.0826,0.0756,0.0000,0.0460,0.0000,0.0000,0.0055,0.0000,0.0126,0.0161,0.0000,0.0400,0.0000,0.0434,0.0072,0.0442,0.2046,0.0394,0.0185,0.0206,0.0078,0.0111,0.0031,0.0522
phys/phys_newton,0.0000,0.0115,0.0166,0.0106,0.0038,0.0000,0.0000,0.0049,0.0000,0.0060,0.0031,0.0068,0.0989,0.4654,0.2810,0.4110,0.0034,0.4971,0.4852,0.0050,0.3134,0.0000,0.0034,0.0109,0.0210,0.0180,0.1532,0.0371,0.2229,0.0022,0.0971,0.0725,0.1947,0.4191,0.8487,0.7362,0.6598,0.0039,0.4945,0.0525,0.1343
phys/phys_prost,0.0000,0.0077,0.0122,0.0066,0.0000,0.0000,0.0000,0.0049,0.0000,0.0060,0.0021,0.0068,0.1189,0.4773,0.3500,0.4880,0.0034,0.2797,0.3011,0.0020,0.2556,0.0021,0.0034,0.0136,0.0401,0.0126,0.1435,0.0357,0.2100,0.0011,0.0806,0.0435,0.1947,0.3795,0.7343,0.8782,0.7904,0.0078,0.1439,0.1605,0.1493
phys/physics_buoyancy,0.0000,0.0064,0.0110,0.0080,0.0038,0.0000,0.0042,0.0064,0.0000,0.0045,0.0010,0.0017,0.0011,0.0974,0.0000,0.0610,0.0023,0.0188,0.0767,0.0000,0.0332,0.0000,0.0000,0.0055,0.0000,0.0126,0.0226,0.0157,0.1529,0.0000,0.1756,0.0072,0.0442,0.0957,0.1205,0.1098,0.9966,0.0000,0.1181,0.0247,0.0448
phys/physics_elasticity,0.0000,0.0026,0.0033,0.0053,0.0038,0.0000,0.0014,0.0020,0.0000,0.0000,0.0010,0.0000,0.0011,0.0184,0.0000,0.0080,0.0023,0.0464,0.0850,0.0000,0.0278,0.0000,0.0000,0.0027,0.0000,0.0108,0.0097,0.0229,0.1186,0.0000,0.0744,0.0072,0.0354,0.1089,0.0959,0.0747,0.0103,1.0000,0.0185,0.0031,0.0522
phys/physics_solubility,0.0000,0.0077,0.0133,0.0133,0.0038,0.0000,0.0042,0.0178,0.0000,0.0045,0.0021,0.0017,0.0044,0.0368,0.0000,0.0090,0.0057,0.0043,0.0791,0.0000,0.0203,0.0000,0.0000,0.0109,0.0000,0.0162,0.0129,0.0057,0.0371,0.0000,0.0682,0.0072,0.0442,0.0726,0.0873,0.0572,0.1237,0.0000,1.0000,0.0031,0.0448
phys/physics_temperature,0.0000,0.0038,0.0044,0.0053,0.0000,0.0000,0.0028,0.0089,0.0000,0.0015,0.0010,0.0017,0.0044,0.0379,0.0000,0.0110,0.0068,0.0580,0.0708,0.0000,0.0139,0.0000,0.0000,0.0082,0.0000,0.0090,0.0161,0.0086,0.1071,0.0000,0.0992,0.0072,0.0442,0.0990,0.0959,0.0867,0.0206,0.0000,0.3801,1.0000,0.0522
phys/spatial,0.0000,0.0038,0.0033,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0015,0.0000,0.0000,0.0022,0.0346,0.0000,0.0030,0.0023,0.1261,0.1311,0.0000,0.0545,0.0000,0.0000,0.0068,0.0000,0.0054,0.0403,0.0000,0.1086,0.0011,0.0289,0.0362,0.0796,0.2079,0.0726,0.0470,0.0275,0.0000,0.0111,0.0031,0.0746
